sample_id,label,target,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00006,0,0,0.7201812548854597,0.5453075679421049,0.4112162903759136,0.2192929170210181,0.5560281435768986,0.2511375677865736,0.2825054466510425,0.1727039027810236,0.2694612935628054,0.29499297483714393,0.6665350475899364,0.3792866469658443,0.8190942138297239,0.42704778156996587,0.5848702730134128,0.3097957319062847,0.32128952541062716,0.36256720430107525,0.7375687195712965,0.4695760415903932,0.7405619828444475,0.5055134648563498,0.15971893162904607,0.283471545230107,0.6514418452953722,0.3977296469113448,0.29689283137291683,0.3762557697529188,0.13297763661504794,0.23953047624870086,0.4900228957482631,0.3489472826467233
cub_00008,0,0,0.9927007839241503,0.9483545286865352,0.6006641485672826,0.32861114788825635,0.7965713374671274,0.4989917096123684,0.5854692761519853,0.3285232011650228,0.4156380962358849,0.3271584735222884,0.5998747384859546,0.33701951901938576,0.7902580252247422,0.5083421013076808,0.5862036314780423,0.3395181205366082,0.39940071951355616,0.3275929806181247,0.6117133623822704,0.36409977570855706,0.8093485654729654,0.5518441196938065,0.20024887485143594,0.2339480250745542,0.5921684206583132,0.3633584674954147,0.3362818326289896,0.26655422288855574,0.19191877035653457,0.2319985416540074,0.567230705559949,0.39706099565807773
cub_00010,0,0,0.6187080052316428,0.47965202005308166,0.2960058343525237,0.23858306590965195,0.2928849271844359,0.1648287869994196,0.1882754322371067,0.20511588807493694,-0.011267333623712756,0.12035143946510471,0.574590816616139,0.3258902028142961,0.6819386238758021,0.2985248447204969,0.4991751608338554,0.28456221198156684,0.4735085080936718,0.32265640289647074,0.5891041421384141,0.2940873041459798,0.8247100975881808,0.5149456521739131,0.40308066095772827,0.3239519394018545,0.5314198462795545,0.27501429388221843,0.5043516175736353,0.37021017773873083,0.4125833237523525,0.32015887485349653,0.4586046442060887,0.30256887367408125
cub_00012,0,0,0.9977947120431073,0.8612630993230085,0.5814045528194195,0.42340425531914894,0.6927528129403225,0.5378131943912344,0.522265856345599,0.3504238998788857,0.14302524688914148,0.2951961160086879,0.5717552405498105,0.41797371767698177,0.6860406367365817,0.5303088067098742,0.5123798909844136,0.34472361809045227,0.1355422092627224,0.2713990092180347,0.7715581531112936,0.4305060584461867,0.7050482910203123,0.46282798833819244,0.04155678063958574,0.241579914268218,0.6399323982105358,0.3460764587525151,0.07424204183480411,0.284121856989043,-0.0007626518655089235,0.17823105532310554,0.4716357447681428,0.398389936582238
cub_00015,0,0,0.9948284654407751,0.8866328257191202,0.6619818437437055,0.35479951397326853,0.8171598329166759,0.5405280933374271,0.5899056490583882,0.2922542012748696,0.3194206242593956,0.3703027845363612,0.673930002408603,0.3825170489770614,0.8224398601107057,0.5585928399471927,0.6035631068630115,0.3192664168802997,0.3174197260479887,0.36320849862166343,0.6925672497520405,0.40330023772898893,0.746805290627716,0.4745426493277496,0.2500040476321726,0.29082574648246007,0.6482083047325398,0.34463352539193354,0.32172893242702844,0.3703027845363612,0.2457293507471441,0.2798257795732862,0.580379485784526,0.41543552975386955
cub_00024,0,0,0.9955639821859292,0.944955906580095,0.5318969082193317,0.278343949044586,0.7279251368209433,0.4312201383441489,0.4836789174457683,0.25547353934692857,0.552471459089098,0.48927574555604525,0.5429081757414745,0.27412392077196546,0.7243349903150255,0.4214887739924924,0.49798018004084327,0.2511688797456518,0.5505614074694237,0.5075470295189234,0.5443628202769029,0.32082922013820336,0.744017471843563,0.5194185782421077,0.2711103802305783,0.19138559172640734,0.5019305067422422,0.2894314166398972,0.432367474663862,0.30578991434275776,0.24259960052001733,0.17054442584146412,0.5562472941070002,0.3767331353221116
cub_00026,0,0,0.9988454011609272,0.9620005861092117,0.5021495107661749,0.21005667430362956,0.7260812533203407,0.416872573243911,0.375086125076775,0.16992130574176625,0.4873977115475898,0.44121410292863233,0.4953695995848071,0.21220351258374073,0.7244358347531747,0.42224897323325306,0.36928256686472555,0.1714785651793526,0.4864915040344851,0.4393133290771086,0.5775230938161112,0.28341220104872744,0.7044983050666271,0.4287748273652737,0.3649286028233441,0.2565850635264952,0.49122360702671186,0.25007785736530674,0.3970457464689544,0.31758513127112037,0.32001153936117605,0.2485374715191822,0.5346913601114617,0.3486854782997808
cub_00034,0,0,0.9908852712148785,0.9213171245333589,0.4472049548957355,0.3285232011650228,0.8299862675767516,0.504159484373829,0.4453504530702298,0.3708080049176969,0.3431059552692252,0.46379322792578154,0.4785092207791129,0.3365294979358104,0.835487015133866,0.5018331462775907,0.47165466821459995,0.3799931247851495,0.3360270022086753,0.429366981531087,0.4754058709961633,0.3522436329335669,0.8466597291826518,0.5831821408850675,0.19521770933864874,0.23733675088490175,0.46756866832954047,0.3725892490767337,0.23797208864039862,0.33607907742998355,0.21240124846368819,0.2593949934778558,0.5075624082209443,0.42514330920889576
cub_00037,0,7,-0.3592691086481539,0.19999601403061223,-0.18128537990147084,0.19999601403061223,-0.12945295987238853,0.19999601403061223,-0.19020992661401634,0.19999601403061223,-0.08743705765264238,0.20408163265306123,0.7826842046998866,0.5856838113296989,0.7671079750816303,0.6298522007471171,0.7750146644631356,0.5900808112818887,0.2658627149029328,0.4758334546513321,0.752357656245583,0.5808128544423441,0.8465212364466813,0.6851385390428212,0.2957430661892847,0.4155554004049431,0.7433708878890288,0.57300728897249,0.2686726289251734,0.42912525551561287,0.29562562996629377,0.4210120549481357,0.3230204154747306,0.42601115734079303
cub_00049,0,0,0.8891915538660066,0.5366245694603904,0.7543691180007861,0.43285500107089314,0.8061011484696162,0.3923962813930901,0.7403650974705538,0.4272507466932158,0.42014347874858476,0.4378412878519254,0.7947858565047589,0.5008971291866029,0.8400166296557112,0.43543543543543545,0.7966243656487645,0.48942799910972623,0.4668554443681336,0.5481679389312977,0.7200567777100538,0.3699658703071672,0.8116564280691498,0.5534055727554179,0.424579242369149,0.45768926594291465,0.722822904731221,0.35434239827248804,0.3630945864081453,0.40906247828202097,0.42429025300213413,0.4671828641725161,0.6649968590015178,0.4541696559243401
