model,mean_spearman,ci_lo,ci_hi
vit_small,0.23133203430658436,0.22339174146399857,0.23912789064125406
efficientnet_b4,0.23703864243274447,0.23092557870698394,0.2431306363151981
convnext_blackbox,0.3169194786992972,0.3052400978010785,0.3300542837161096
resnet50,0.38448174235330784,0.3730155120963754,0.39535673400024196
cbm_leaky,0.40452501718890344,0.3884747685567164,0.4220458198457818
cbm_nonleaky,0.4064559597230888,0.39238295684317187,0.420341279693518
densenet121,0.4360444350489424,0.42589768067566847,0.4458479578814996
