baseline_mode,samples,map_spearman_mean,top20_iou_mean,mean_abs_diff_mean,identical_fraction,ig_insertion_auc_mean,gradient_shap_insertion_auc_mean,insertion_auc_delta_mean,input_grad_l2_mean
black,48,0.6271627251859951,0.317306651148383,0.030109027905079227,0.0,0.5390732652701747,0.5709707124740816,0.03189744720390687,0.4142021799149613
gray,48,0.48586244650283206,0.2628580486232796,0.036398522361802556,0.0,0.5231536466919351,0.5637085457565263,0.040554899064591164,0.4142021799149613
mean,48,0.49521752029666016,0.280322594404699,0.0273558337163801,0.0,0.5477675968063219,0.5952356877271086,0.04746809092078668,0.4142021799149613
