fold,n,mean_abs_ig_gradshap_delta,pearson_corr,identical_fraction
fold_0,300,0.06952306547782307,0.9236082887079071,0.0
fold_1,300,0.07622370791208233,0.9171867167269924,0.0
fold_2,300,0.044319984670573236,0.951813463295463,0.0
fold_3,300,0.07936588521798452,0.8882422951339205,0.0
fold_4,300,0.06946470021611702,0.8713812535803923,0.0
