model,mean_spearman,ci_lo,ci_hi
vit_small,0.23133203430658436,0.22322705678189206,0.23896459121423702
efficientnet_b4,0.23703864243274447,0.23152880116162253,0.2431266053666692
convnext_blackbox,0.3169194786992972,0.30439915760695013,0.32947991975611035
resnet50,0.38448174235330784,0.3730976672960382,0.3950038798219155
cbm_leaky,0.40452501718890344,0.3882151348244328,0.42092799479804655
cbm_nonleaky,0.4064559597230888,0.39242673166949527,0.4211391461309185
densenet121,0.4360444350489424,0.42620134618562716,0.4467381254442759
