fold,model,source,n_methods,methods,skipped,mean_spearman,mean_top20_iou,consensus_insertion_auc_mean,consensus_expert_roi_mean,fw_consensus_insertion_auc_mean,uniform_consensus_insertion_auc_mean,topk_consensus_insertion_auc_mean,fw_consensus_expert_roi_mean,uniform_consensus_expert_roi_mean,topk_consensus_expert_roi_mean
fold_0,efficientnet_b4,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/efficientnet_b4/xai_summary_v2.json,6,gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.23632924197092875,0.23927498145746323,0.8029531860599916,0.2696739539504051,0.8029531860599916,0.8018273879153033,0.8148887595223884,0.2696739539504051,0.2697988087932269,0.25914050787687304
fold_1,efficientnet_b4,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/efficientnet_b4/xai_summary_v2.json,6,gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.21380304666096067,0.22684794322470106,0.8626970564946532,0.2536524618665377,0.8626970564946532,0.8596510609922309,0.8726085377670824,0.2536524618665377,0.25357295845945677,0.25019408091902734
fold_2,efficientnet_b4,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_2/efficientnet_b4/xai_summary_v2.json,6,gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.20714656100095563,0.2185942798432789,0.6691624156758189,0.2571157251795133,0.6691624156758189,0.6631167469297844,0.6848053573444485,0.2571157251795133,0.25730501537521683,0.24800060552855333
fold_3,efficientnet_b4,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_3/efficientnet_b4/xai_summary_v2.json,6,gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.2364015630700496,0.23729563574445967,0.7307691245960692,0.2617447093129158,0.7307691245960692,0.7263485833940407,0.7407612315254907,0.2617447093129158,0.26154225319623947,0.25906525800625485
fold_4,efficientnet_b4,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_4/efficientnet_b4/xai_summary_v2.json,6,gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.2215649483929754,0.2312684492363859,0.7586374167104564,0.2567759245634079,0.7586374167104564,0.7543831661716104,0.7633861696223417,0.2567759245634079,0.2567211205760638,0.2540489579240481
fold_0,vit_small,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_0/vit_small/xai_summary_v2.json,7,attention_rollout gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.2564016524544416,0.2705599757202256,0.7916181124560535,0.24114228387673695,0.7916181124560535,0.7866333197926483,0.8260752744848531,0.24114228387673695,0.23777888789772988,0.25668893083930017
fold_1,vit_small,/kaggle/working/v4_repair_rsna/combined_xai_multifold/fold_1/vit_small/xai_summary_v2.json,7,attention_rollout gradcam gradcam++ gradient_shap guided_backprop integrated_gradients occlusion,{},0.21160661221267577,0.24309651359928977,0.8187947483981649,0.22506817256410916,0.8187947483981649,0.8123635913307469,0.8369264570251109,0.22506817256410916,0.2183950590590636,0.24662254601716996
