model,mean_spearman_mean,mean_spearman_std,mean_top20_iou_mean,mean_top20_iou_std,consensus_insertion_auc_mean_mean,consensus_insertion_auc_mean_std,consensus_expert_roi_mean_mean,consensus_expert_roi_mean_std,fw_consensus_insertion_auc_mean_mean,fw_consensus_insertion_auc_mean_std,uniform_consensus_insertion_auc_mean_mean,uniform_consensus_insertion_auc_mean_std,topk_consensus_insertion_auc_mean_mean,topk_consensus_insertion_auc_mean_std,fw_consensus_expert_roi_mean_mean,fw_consensus_expert_roi_mean_std,uniform_consensus_expert_roi_mean_mean,uniform_consensus_expert_roi_mean_std,topk_consensus_expert_roi_mean_mean,topk_consensus_expert_roi_mean_std
efficientnet_b4,0.223,0.0132,0.2307,0.0083,0.7648,0.0731,0.2598,0.0062,0.7648,0.0731,0.7611,0.0745,0.7753,0.0717,0.2598,0.0062,0.2598,0.0063,0.2541,0.0051
vit_small,0.234,0.0317,0.2568,0.0194,0.8052,0.0192,0.2331,0.0114,0.8052,0.0192,0.7995,0.0182,0.8315,0.0077,0.2331,0.0114,0.2281,0.0137,0.2517,0.0071
