sample_id,method,label,target,deletion_auc,insertion_auc
cub_00007,gradcam,0,66,0.08113201222004136,0.07258647447160911
cub_00007,gradcam++,0,66,0.08113201222004136,0.07258647447160911
cub_00007,integrated_gradients,0,66,0.05570225058763754,0.04762796649883966
cub_00007,gradient_shap,0,66,0.054999099529231904,0.04795763366564641
cub_00007,occlusion,0,66,0.06376104588998716,0.04705892386555205
cub_00007,guided_backprop,0,66,0.07034765793650878,0.06056514559022616
cub_00013,gradcam,0,23,0.025962358842480174,0.019596597610507156
cub_00013,gradcam++,0,23,0.023039139939282905,0.02356810272394795
cub_00013,integrated_gradients,0,23,0.013670537421421613,0.06365109661710448
cub_00013,gradient_shap,0,23,0.013986432818637694,0.062433845800114796
cub_00013,occlusion,0,23,0.007716976760275429,0.09170898445299827
cub_00013,guided_backprop,0,23,0.011333804452442564,0.06498961982433685
cub_00023,gradcam,0,45,0.09546355986967682,0.06951244338415563
cub_00023,gradcam++,0,45,0.09168485086411239,0.060487637296319
cub_00023,integrated_gradients,0,45,0.022679524892009795,0.04757047560997307
cub_00023,gradient_shap,0,45,0.02205842141993344,0.04464664855040609
cub_00023,occlusion,0,45,0.0316543463151902,0.1454583874903619
cub_00023,guided_backprop,0,45,0.01809223790187389,0.033741921000182626
cub_00025,gradcam,0,22,0.037232541223056616,0.014412688964512196
cub_00025,gradcam++,0,22,0.038558981416281314,0.011481368646491316
cub_00025,integrated_gradients,0,22,0.00866707805544138,0.03406120423460379
cub_00025,gradient_shap,0,22,0.008380743861198425,0.03342967838980257
cub_00025,occlusion,0,22,0.011285703734029085,0.06829819007543847
cub_00025,guided_backprop,0,22,0.009633766021579502,0.03290717963827774
cub_00028,gradcam,0,71,0.09934959007659928,0.019101107260212295
cub_00028,gradcam++,0,71,0.11976350775221363,0.023562358634080727
cub_00028,integrated_gradients,0,71,0.015604126801190433,0.02288160399766638
cub_00028,gradient_shap,0,71,0.01628970363235567,0.021728769934270524
cub_00028,occlusion,0,71,0.020262654137331998,0.08069185529602692
cub_00028,guided_backprop,0,71,0.012992764428781814,0.009044849243946367
cub_00030,gradcam,0,189,0.3463075392501196,0.005017779234569269
cub_00030,gradcam++,0,189,0.34448931241931857,0.0045300005037432756
cub_00030,integrated_gradients,0,189,0.007848559138074052,0.5254254028463037
cub_00030,gradient_shap,0,189,0.007642717770067976,0.5131571116187842
cub_00030,occlusion,0,189,0.004354746229489592,0.328066878374375
cub_00030,guided_backprop,0,189,0.019842830422567206,0.4385957422928186
cub_00031,gradcam,0,0,0.0432957966811955,0.055502562731271604
cub_00031,gradcam++,0,0,0.06164579624310136,0.07292858851142228
cub_00031,integrated_gradients,0,0,0.0182985745370388,0.016061559144873165
cub_00031,gradient_shap,0,0,0.018221443879883732,0.017660802358295764
cub_00031,occlusion,0,0,0.015191938332282006,0.08681556861847638
cub_00031,guided_backprop,0,0,0.0297983702912461,0.018548396625556046
cub_00033,gradcam,0,0,0.01880680369067704,0.02098415969267079
cub_00033,gradcam++,0,0,0.013380814334959723,0.065552433260018
cub_00033,integrated_gradients,0,0,0.008220862743837641,0.02261678663198835
cub_00033,gradient_shap,0,0,0.008296789901214652,0.021386511594755565
cub_00033,occlusion,0,0,0.007995753943396265,0.03870250223553739
cub_00033,guided_backprop,0,0,0.008069876742592895,0.018400799771916346
cub_00036,gradcam,0,0,0.07081462409114465,0.1114433489332441
cub_00036,gradcam++,0,0,0.08656396332662553,0.10336931813508271
cub_00036,integrated_gradients,0,0,0.0984638292575255,0.10002608085051176
cub_00036,gradient_shap,0,0,0.10165462815202773,0.10876126661896704
cub_00036,occlusion,0,0,0.0401665341865737,0.08823890360072253
cub_00036,guided_backprop,0,0,0.11224103102576921,0.047450707084499284
cub_00040,gradcam,0,2,0.05884225564077497,0.011528131470549846
cub_00040,gradcam++,0,2,0.04475384553079494,0.032151783350855105
cub_00040,integrated_gradients,0,2,0.01768294625217095,0.021271696034818884
cub_00040,gradient_shap,0,2,0.019174893340095877,0.016860171419102694
cub_00040,occlusion,0,2,0.01103493503469508,0.07162631112150848
cub_00040,guided_backprop,0,2,0.017097666941117494,0.017204161034896963
cub_00047,gradcam,0,62,0.08348864801228047,0.21685932390391827
cub_00047,gradcam++,0,62,0.0794161669909954,0.2263061508536339
cub_00047,integrated_gradients,0,62,0.24262426197528839,0.08088399963453412
cub_00047,gradient_shap,0,62,0.24030541926622392,0.07767616305500269
cub_00047,occlusion,0,62,0.1474258992820978,0.11905118003487587
cub_00047,guided_backprop,0,62,0.17151063904166222,0.06815793854184449
cub_00058,gradcam,0,45,0.15528844427317381,0.07451189761050046
cub_00058,gradcam++,0,45,0.18211093638092282,0.09340385617688299
cub_00058,integrated_gradients,0,45,0.08655694499611855,0.057668874040245996
cub_00058,gradient_shap,0,45,0.07950367368757726,0.05911634564399718
cub_00058,occlusion,0,45,0.03281499741133303,0.15917027061805125
cub_00058,guided_backprop,0,45,0.08555793752893807,0.07567540248855947
cub_00067,gradcam,1,2,0.048939755372703085,0.047336366819217796
cub_00067,gradcam++,1,2,0.06317013963125646,0.04026348241604864
cub_00067,integrated_gradients,1,2,0.039935729443095626,0.032027069549076255
cub_00067,gradient_shap,1,2,0.037970382859930395,0.031984071503393344
cub_00067,occlusion,1,2,0.040644440380856406,0.04724622345529496
cub_00067,guided_backprop,1,2,0.05483990815700963,0.028455557092092923
cub_00068,gradcam,1,110,0.0807843555463478,0.05083757541142404
cub_00068,gradcam++,1,110,0.05607061292976142,0.09328551720827817
cub_00068,integrated_gradients,1,110,0.02209674941841513,0.051253936369903386
cub_00068,gradient_shap,1,110,0.022324688243679697,0.04877322551328689
cub_00068,occlusion,1,110,0.13745732388924806,0.12354787799995393
cub_00068,guided_backprop,1,110,0.03532755537889898,0.04441391655709594
cub_00069,gradcam,1,43,0.041740115573338704,0.011487325488997151
cub_00069,gradcam++,1,43,0.03162736448139185,0.010465985147493476
cub_00069,integrated_gradients,1,43,0.006620176349224493,0.04062055420217802
cub_00069,gradient_shap,1,43,0.007122779580640781,0.03951345365057931
cub_00069,occlusion,1,43,0.02585908630717313,0.08405148768797517
cub_00069,guided_backprop,1,43,0.008828766103397357,0.02918817561730975
cub_00081,gradcam,1,106,0.204340105598385,0.07462055003270505
cub_00081,gradcam++,1,106,0.21067076314502628,0.1753143796828226
cub_00081,integrated_gradients,1,106,0.03382589858374559,0.21787511025977435
cub_00081,gradient_shap,1,106,0.03809248375764582,0.20336176211421841
cub_00081,occlusion,1,106,0.017946742479398384,0.25009624862141205
cub_00081,guided_backprop,1,106,0.0445793271821458,0.1377688391425181
cub_00085,gradcam,1,20,0.05135500144206163,0.0145509785903414
cub_00085,gradcam++,1,20,0.03194081332439965,0.011062405604025114
cub_00085,integrated_gradients,1,20,0.0014931799367332132,0.019830719437959488
cub_00085,gradient_shap,1,20,0.0014932814552594208,0.019624530085638976
cub_00085,occlusion,1,20,0.0036465635934291646,0.04979407676109986
cub_00085,guided_backprop,1,20,0.0015563046577881324,0.016931476816171197
cub_00088,gradcam,1,91,0.022477878139761744,0.06612386652705025
cub_00088,gradcam++,1,91,0.02490366748970701,0.061756914951547504
cub_00088,integrated_gradients,1,91,0.012611029973777478,0.13122826908220303
cub_00088,gradient_shap,1,91,0.012445453608233951,0.1364663654981996
cub_00088,occlusion,1,91,0.006240224359680724,0.16933229500864397
cub_00088,guided_backprop,1,91,0.02838965624541743,0.13320963588630547
cub_00098,gradcam,1,22,0.07913814108760563,0.029013991088140748
cub_00098,gradcam++,1,22,0.07094947650330143,0.039101383776869614
cub_00098,integrated_gradients,1,22,0.03895768644288183,0.10247546265600249
cub_00098,gradient_shap,1,22,0.03531928750453518,0.1022768210968934
cub_00098,occlusion,1,22,0.010661807924043388,0.10375469996361061
cub_00098,guided_backprop,1,22,0.07028831370407716,0.09576017766958102
cub_00102,gradcam,1,134,0.054202807735418905,0.026373955118469888
cub_00102,gradcam++,1,134,0.05402886609081179,0.04195880105253309
cub_00102,integrated_gradients,1,134,0.02805630266666413,0.02604126227088272
cub_00102,gradient_shap,1,134,0.031260743457823995,0.02507227193564176
cub_00102,occlusion,1,134,0.051380507380235946,0.03365264136227779
cub_00102,guided_backprop,1,134,0.02853760858997703,0.02681232613977044
cub_00103,gradcam,1,1,0.014950732828583571,0.028750719333061163
cub_00103,gradcam++,1,1,0.027375809067598317,0.02075719095528256
cub_00103,integrated_gradients,1,1,0.02426482373193721,0.0334398410283029
cub_00103,gradient_shap,1,1,0.02880524245556444,0.039156492863548914
cub_00103,occlusion,1,1,0.011981015456967725,0.08004941678295835
cub_00103,guided_backprop,1,1,0.03127165938203688,0.038165615576144764
cub_00105,gradcam,1,141,0.061028948659077285,0.03305757313501089
cub_00105,gradcam++,1,141,0.07429760149680079,0.041655480023473496
cub_00105,integrated_gradients,1,141,0.008241958077996969,0.011843168735504145
cub_00105,gradient_shap,1,141,0.008003736753016709,0.011809521727263923
