paper_id,title,authors,venue,year,category,core_method,dataset_used,key_metric,key_strength,key_limitation,how_we_differ,cite_in_sections
krishna2022disagreement,The Disagreement Problem in Explainable Machine Learning: A Practitioner's Perspective,Krishna et al.,arXiv,2022,direct_predecessor,Formalizes and measures disagreement among post-hoc explanations,Four real-world datasets,Disagreement frequency,Defines the core problem,Does not study architecture-class hierarchy across image domains,We test architecture-conditioned disagreement across RSNA and CUB,intro related_work
hedstrom2024latec,Navigating the Maze of Explainable AI,Hedstrom et al.,NeurIPS Datasets and Benchmarks,2024,direct_predecessor,Systematic XAI method and metric evaluation,Multiple XAI datasets and metrics,326k saliency maps,Large-scale method-metric benchmark,Focuses on metric reliability rather than architecture-conditioned disagreement,We study cross-domain architecture hierarchy and clinical alignment,related_work
adebayo2018sanity,Sanity Checks for Saliency Maps,Adebayo et al.,NeurIPS,2018,methodological_foundation,Model and data randomization tests for saliency maps,Image classifiers,Sanity-check sensitivity,Shows saliency can be misleading,Does not resolve inter-method disagreement,We include randomization diagnostics and agreement statistics,related_work experiments
selvaraju2017gradcam,Grad-CAM,Selvaraju et al.,ICCV,2017,methodological_foundation,Gradient-weighted class activation maps,CNN vision tasks,Localization and human studies,Practical CAM baseline,Convolution-oriented and coarse,We compare it against gradient perturbation and attention methods,method
sundararajan2017axiomatic,Axiomatic Attribution for Deep Networks,Sundararajan et al.,ICML,2017,methodological_foundation,Integrated gradients from baseline to input,Deep networks,Attribution axioms,Principled gradient attribution,Baseline-sensitive,We evaluate it as one member of a disagreement set,method
koh2020concept,Concept Bottleneck Models,Koh et al.,ICML,2020,gap_exposing,Predict concepts before labels,CUB and medical-like tasks,Intervention accuracy,Supports concept intervention,Requires meaningful concept supervision,We use deterministic RSNA concepts as a controlled ante-hoc alternative,related_work method discussion
ghassemi2021false,The False Hope of Current Approaches to Explainable AI in Health Care,Ghassemi et al.,Lancet Digital Health,2021,gap_exposing,Critical perspective on clinical XAI,Health AI,Conceptual analysis,Warns against false confidence,Not an empirical vision benchmark,We empirically measure low expert-coordinate overlap,related_work discussion
dosovitskiy2021vit,An Image is Worth 16x16 Words,Dosovitskiy et al.,ICLR,2021,methodological_foundation,Patch-token Transformer for image classification,ImageNet and transfer tasks,Top-1 accuracy,Defines ViT architecture,Does not study explanation agreement,We test ViT as an XAI disagreement architecture,method
touvron2021deit,Training Data-Efficient Image Transformers,Touvron et al.,ICML,2021,methodological_foundation,Distilled data-efficient Vision Transformer,ImageNet,Top-1 accuracy,Controls for Transformer training regime,Does not study XAI disagreement,We show DeiT shares the low-agreement Transformer tier,method results
