sample_id,method,label,target,deletion_auc,insertion_auc
cub_00007,gradcam,0,1,0.05895413187681697,0.5248436878726352
cub_00007,gradcam++,0,1,0.08693766532232985,0.5234283640573266
cub_00007,integrated_gradients,0,1,0.03242702389252373,0.3339194952219259
cub_00007,gradient_shap,0,1,0.031579941633390264,0.42599833083804695
cub_00007,occlusion,0,1,0.03232413138030097,0.6842081563081592
cub_00007,guided_backprop,0,1,0.1025197304203175,0.1285516654839739
cub_00013,gradcam,0,4,0.06374977118684912,0.5156406763824635
cub_00013,gradcam++,0,4,0.035892287211026996,0.464689003804233
cub_00013,integrated_gradients,0,4,0.30664402776164934,0.3649514898075722
cub_00013,gradient_shap,0,4,0.2573400347377174,0.4144816979183815
cub_00013,occlusion,0,4,0.25520346252014864,0.10775225377874448
cub_00013,guided_backprop,0,4,0.22687613110756505,0.24995845988159998
cub_00023,gradcam,0,0,0.11642777794040739,0.442925938614644
cub_00023,gradcam++,0,0,0.12199931170325727,0.5271055645309388
cub_00023,integrated_gradients,0,0,0.042591320228530107,0.4155107693513855
cub_00023,gradient_shap,0,0,0.03782811360433697,0.4583784422371536
cub_00023,occlusion,0,0,0.18123403238132593,0.5916722799534909
cub_00023,guided_backprop,0,0,0.052686525630997495,0.36609105111565443
cub_00025,gradcam,0,0,0.08048665033493307,0.8573023635428398
cub_00025,gradcam++,0,0,0.08404190520814156,0.8540947349742056
cub_00025,integrated_gradients,0,0,0.07211558728595265,0.8127267177915202
cub_00025,gradient_shap,0,0,0.0402952200267464,0.8184445971739477
cub_00025,occlusion,0,0,0.22788372781360522,0.9112843973562121
cub_00025,guided_backprop,0,0,0.12393614778993652,0.7189022586797365
cub_00028,gradcam,0,0,0.10915558063425124,0.5421857399400324
cub_00028,gradcam++,0,0,0.06658153659664096,0.5073433036450297
cub_00028,integrated_gradients,0,0,0.09913124742452056,0.464736885856837
cub_00028,gradient_shap,0,0,0.0720653755241074,0.5258530361345037
cub_00028,occlusion,0,0,0.13230363361071795,0.6383158401586115
cub_00028,guided_backprop,0,0,0.059706030657980594,0.3939878589124419
cub_00030,gradcam,0,0,0.06041063978118473,0.638503519911319
cub_00030,gradcam++,0,0,0.06356002850807274,0.6234938950219657
cub_00030,integrated_gradients,0,0,0.052079818490892646,0.6611650725564686
