model,fold,mean_spearman,mean_top20_iou,fw_consensus_insertion_auc_mean,uniform_consensus_insertion_auc_mean,topk_consensus_insertion_auc_mean,skipped
efficientnet_b4,fold_0,0.41195395167730736,0.3503462254880617,0.6741486764759369,0.6685706496112591,0.6843962031358388,{}
efficientnet_b4,fold_1,0.40672424485726,0.34385224048203605,0.6013079293718329,0.5966285799055672,0.6221400726565238,{}
efficientnet_b4,fold_2,0.4163643453223828,0.3546492918063502,0.7097952967712385,0.7043866502408248,0.7254324145225108,{}
efficientnet_b4,fold_3,0.41660630078624034,0.350381225347917,0.6875938756506852,0.6850090502494518,0.70673191301903,{}
efficientnet_b4,fold_4,0.40407545526117883,0.34007794311697703,0.6540799320180668,0.6522651839636577,0.6587522087190881,{}
