fold,model,mean_spearman,mean_top20_iou,consensus_insertion_auc_mean,consensus_expert_roi_mean
fold_0,cbm_leaky,0.4045250171889035,0.3896708044500236,0.8165228040134146,0.2697126766045888
fold_1,cbm_leaky,0.23740747580666915,0.28640597163536646,0.821802417631261,0.2358202097316583
fold_2,cbm_leaky,0.37684482741527175,0.3652191674176459,0.7410600446288783,0.22714680234591167
fold_3,cbm_leaky,0.3697859861041179,0.3548744041573486,0.7925617294587817,0.25368765493233997
fold_4,cbm_leaky,0.347075240856549,0.3526005715984695,0.8301863341422722,0.2537741729368766
fold_0,cbm_nonleaky,0.40645595972308884,0.3415798625208358,0.8782094507467808,0.2811091154813766
fold_1,cbm_nonleaky,0.35380512544736975,0.3512762178414327,0.8360057868125538,0.26858680645624794
fold_2,cbm_nonleaky,0.4216921166399599,0.37482381886174665,0.8172592370256704,0.2752774049838384
fold_3,cbm_nonleaky,0.3742166124373182,0.32494925045221223,0.7855903110715249,0.25891599655151365
fold_4,cbm_nonleaky,0.34303961636178315,0.3327003799310393,0.8143235251113463,0.2368545334475736
fold_0,convnext_blackbox,0.31691947869929726,0.3275580266930288,0.8172995272554058,0.2542499780654907
fold_1,convnext_blackbox,0.23185216225143332,0.3042802325565229,0.8370660556542379,0.233282932639122
fold_2,convnext_blackbox,0.29288879856993977,0.34657503100689585,0.8132742840920885,0.25701143046220143
fold_3,convnext_blackbox,0.25218641036091505,0.2944982919804364,0.7960602261032907,0.2257771909236908
fold_4,convnext_blackbox,0.31939118809266853,0.35542917799661905,0.786662799990348,0.25373273144165676
fold_0,densenet121,0.4360444350489424,0.3887170215096825,0.8006876177092395,0.2731876358389854
fold_1,densenet121,0.39459775821025717,0.36037428443457403,0.8369020512700079,0.27809447745482124
fold_2,densenet121,0.4430380086185655,0.3963927157751916,0.8242300003518661,0.2744178315003713
fold_3,densenet121,0.4566560070213865,0.3905817430750936,0.8041969220340255,0.27413535763820013
fold_4,densenet121,0.439525307277659,0.38832594043275215,0.7735034992049138,0.2759424383441607
fold_0,efficientnet_b4,0.23703864243274453,0.23945516532402347,0.8041788628324866,0.2697120413184166
fold_1,efficientnet_b4,0.21380730725920677,0.22678225578566283,0.8614009371151529,0.2534310611585776
fold_2,efficientnet_b4,0.20724059763304023,0.21857049418950963,0.6680681902356447,0.2575305312871933
fold_3,efficientnet_b4,0.23669455924807484,0.2373261868217096,0.7310333980123201,0.26147397309541703
fold_4,efficientnet_b4,0.22130912321136928,0.23122959239262655,0.7613314229622484,0.2565710241595904
fold_0,resnet50,0.3844817423533079,0.31278925613520403,0.7827681597694753,0.2533103699485461
fold_1,resnet50,0.40070082524134565,0.31928415215906836,0.7919161147934695,0.2747234389185905
fold_2,resnet50,0.4137423348962249,0.3268044086315473,0.7307294164846341,0.26150666177272797
fold_3,resnet50,0.4458548405445646,0.3512072270114495,0.8113883374588206,0.26544046849012376
fold_4,resnet50,0.4136174609905151,0.3369933850201367,0.8209256773779149,0.26985416809717816
fold_0,vit_small,0.23133203430658436,0.2630505724589063,0.7782440830549846,0.19531999739507835
fold_1,vit_small,0.21194267712292938,0.25078859547070825,0.8027228533849119,0.2002591758966446
fold_2,vit_small,0.17197430976909645,0.22267514713994757,0.7552736683934927,0.2082706421613693
fold_3,vit_small,0.16792224293173952,0.21318567203186758,0.727047596015036,0.213678935666879
fold_4,vit_small,0.21466342974859695,0.24562760787241644,0.7926149405601124,0.22972849309444426
