model,n_samples,feature_autocorrelation,feature_autocorrelation_std,feature_total_variation,feature_total_variation_std,feature_entropy_norm,feature_entropy_norm_std,feature_coherence_score,feature_coherence_score_std,feature_fragmentation_score,feature_fragmentation_score_std
resnet50,300,0.6476197532715842,0.055654218687275804,0.5562010439352618,0.042368657399860864,0.7671642599220655,0.041570129986812684,0.416827164411465,0.04076026894228393,0.4281113441545006,0.053634556996366725
densenet121,300,0.6761995691247857,0.05850554303002625,0.5747995406575851,0.05676136238778251,0.8012883762540858,0.046477358724139314,0.43075637719151844,0.04674213846749811,0.46263779204583166,0.07001691300118341
convnext_blackbox,300,0.3141781957644013,0.13676844671644578,0.5219446900800748,0.040583685956709234,0.7247720086643625,0.054964258586891496,0.2049381684395976,0.08681419761443027,0.38004559748429423,0.053390173216877286
efficientnet_b4,300,-0.00927730786957081,0.04492072327629356,0.3875710425349079,0.0644182768656187,0.878961818487259,0.024622132190407073,-0.007858693714352095,0.03151065733897806,0.3417878459699717,0.06401475945936974
vit_small,300,0.687324096136156,0.10827525902387235,0.5209395736675885,0.1144713567675462,0.9893529724571188,0.008745701869200484,0.45863482022166674,0.09712267647346663,0.515067940405402,0.1118436355894994
deit_small,300,0.18920561831389845,0.13378189283019065,0.6327316299170725,0.05938041560950733,0.9668783377460493,0.012794378568172978,0.1177982926055804,0.08608687792397572,0.6117022661439193,0.05745819940255763
