sample_id,label,target,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00007,0,0,0.9276559226584824,0.8064806480648065,0.7456403374400848,0.3817555938037866,0.6719036814637148,0.32571504062355505,0.7297724905576655,0.3362183754993342,0.4344255730171788,0.20777982963007088,0.7276808291693794,0.3942341090656478,0.6539231511148685,0.3235294117647059,0.7027423632396935,0.3387139807897545,0.45376905126335154,0.20155268460353207,0.7116337228551226,0.35197036039070395,0.8869213612850128,0.5355776587605203,0.47238958688903565,0.2784538747714232,0.815967339701991,0.4776910616993079,0.37336099027497094,0.20598382108018082,0.4392523617914272,0.25069397322805503,0.6498025841814653,0.3610900282516923
cub_00013,0,2,0.8003732425401352,0.7932451751250893,0.3767551824672595,0.2504672897196262,0.5837899586571675,0.31943987903490895,0.4210152039669596,0.26329703531189025,0.5843984313491768,0.3527488657592741,0.3344774684004234,0.2612329541883994,0.5574702855488283,0.29492225304858377,0.34334859232186554,0.266006434113417,0.4323145972036539,0.34708657232077605,0.35602559199610634,0.2178398058252427,0.7716276204727778,0.5443213296398892,0.4315487113745111,0.32377905458344214,0.5005438669440508,0.26936942634874456,0.34172364799608274,0.2348498690541446,0.4226083181845352,0.3527488657592741,0.4838680479615689,0.3394236539888469
cub_00023,0,0,0.9097288546277209,0.7270147071471574,-0.023570865470715137,0.1993071731469868,-0.06825373763067998,0.218594489622527,-0.043323637169140984,0.18809537897165848,-0.02338883227923452,0.18785500966211863,0.06709693143642972,0.23091076356945722,0.04881239679966338,0.24519171113041321,0.056463031748766095,0.21991247264770242,0.10079883466554594,0.2254457540042309,0.6666784721769827,0.470437394680929,0.9099822166267408,0.736159169550173,0.5176216521805369,0.3516666666666667,0.7001045012944405,0.47921580188679247,0.5847465602437913,0.4187250717234623,0.5018058248717419,0.35085615297488176,0.327020146941506,0.3499591811590105
cub_00025,0,0,0.8656527291156078,0.7057623661397247,0.29211484644268954,0.4371643394199785,0.36712597734906444,0.4068414411888406,0.31788937262373435,0.4218916046758767,0.25986931252925927,0.2402887379947391,0.43150782325749654,0.5149456521739131,0.4663777382056992,0.4928592680749777,0.4371048424630073,0.49530621367903443,0.29191740348507783,0.3141690432978999,0.8108252487006626,0.644542772861357,0.8964213289364388,0.8076195622804647,0.6285093074523121,0.44604521788745455,0.8590347608484591,0.6577186751466094,0.6209495826085999,0.43580482968628287,0.6098829759389187,0.4466642882625758,0.5436788833304685,0.49784160085131535
cub_00028,0,0,0.964694692081423,0.876051598429613,0.33191597931267397,0.26896813353566007,0.3054899990137573,0.2867859203693018,0.25454619356027575,0.23249815770081061,0.3956884664785068,0.31947156058831183,0.3684214451008018,0.26155006600037717,0.33615186756637433,0.27081618438548727,0.284884615813556,0.22789843988987457,0.4150349862241003,0.3252500163409373,0.6808540339734124,0.47703856343832796,0.8302836582210114,0.7008474576271186,0.553957191565451,0.37299383761088917,0.7342963075334658,0.49943967127381395,0.5765634424396117,0.37048803569014466,0.49648738028340655,0.3428041592158421,0.5019513506111886,0.3888601201397674
cub_00030,0,0,0.8950276617548442,0.7517674783974863,0.5102410943467769,0.41218688432310724,0.42536398749725424,0.363265860616764,0.4672174144926658,0.4020258470136221,0.4349409855467135,0.41922161556768867,0.5214017373448508,0.3642852287403983,0.4367563065254447,0.32248286768581974,0.4723581596203273,0.34933440903590157,0.470264032803297,0.46126126126126127,0.7649463408583789,0.46979128524350056,0.9223625843275032,0.6956742142615748,0.6735242567499526,0.4015622839762201,0.8168836500642547,0.5531651447144404,0.6861451349080295,0.430133314523524,0.679500087205219,0.4137786765218604,0.6117955622697008,0.4539957581255447
cub_00031,0,0,0.8401030561486239,0.32624066609396685,0.7236416448550819,0.34499396863691195,0.7772639880492996,0.4550859131443486,0.7376070213711754,0.3431037944187914,0.6018934656353209,0.43114279664007904,0.6657033622984765,0.33390934467632594,0.7140587779421799,0.3434634178994578,0.6932674078878633,0.33604047397150844,0.5195170189950755,0.3254232856115578,0.7302550622259009,0.40802581731443804,0.8441079401595767,0.6276052226096829,0.4857526527895588,0.31289257268665416,0.8034611191994043,0.45455863168575156,0.5745061593796861,0.4279174589759842,0.5043275248103013,0.33125410374261327,0.6810310801165016,0.3867771645405381
cub_00033,0,0,0.9098763865377952,0.5878164556962026,0.47054011574982224,0.2473586078309509,0.3695789259380119,0.2319685716039531,0.4388434784013276,0.230307117023233,0.39361868183929444,0.3511262161801946,0.49122597190168144,0.2813637234246313,0.42798624409448077,0.2843156076022269,0.4628008460966521,0.27041397645271553,0.4558511924871593,0.4234063465318731,0.7490793007861017,0.4876584389593062,0.8666229677373661,0.7470403899721448,0.5811357037860552,0.3064630452993105,0.8050194636453771,0.5065305509683231,0.60223561469068,0.3354630483467264,0.5881737602338668,0.3076426959045469,0.5741725769283781,0.3732583194530893
cub_00036,0,0,0.5695567339403939,0.37139735008878566,0.19391252554899896,0.16798510935318753,0.307990869231247,0.22409168495488904,0.23063016510825132,0.19474028678526803,0.27329681552057083,0.22850048449612403,0.23148315632511357,0.18309360999764207,0.5186194806351156,0.2517151054010228,0.2719840414420923,0.21144443773767127,0.27222993959059666,0.19327879465599435,0.5667169764808753,0.32799576523522794,0.864601007561735,0.5995855583007891,0.30159366665643983,0.2443994353403302,0.6627848623889948,0.4081246053462429,0.45326949791607934,0.3166439379180466,0.3436136880411053,0.255495696327946,0.4041522284258407,0.27856612412927784
cub_00040,0,0,0.7749123895889857,0.5638828295419134,0.2437531220638749,0.3351513136015963,0.1870915430546605,0.3055411030176899,0.2326883004872015,0.32466675465223704,0.17426413953283537,0.2655391912131802,0.5587177867009991,0.4861162532395409,0.5251712406141622,0.41567327361218875,0.5522909357487856,0.46410854975196963,0.42773455835042434,0.42450642872198413,0.7399262921451372,0.4725952014087607,0.9117117646518226,0.7099769958251683,0.5976702061704082,0.42892381422228487,0.795340920172513,0.5267001369237791,0.6447219385471057,0.476370785698682,0.6188332295228389,0.42771635800295754,0.5323218911567836,0.4418312659622622
