sample_id,method,label,target,deletion_auc,insertion_auc
cub_00006,gradcam,0,0,0.14929824943537826,0.672757698589703
cub_00006,gradcam++,0,0,0.4996238671650645,0.6849849796795751
cub_00006,integrated_gradients,0,0,0.1642158894974273,0.7664802743063774
cub_00006,gradient_shap,0,0,0.1203180194075685,0.8215618913935033
cub_00006,occlusion,0,0,0.09997924575000071,0.693241880502319
cub_00006,guided_backprop,0,0,0.1282512714329641,0.7102792097197381
cub_00008,gradcam,0,0,0.24318204535520638,0.8237637137004641
cub_00008,gradcam++,0,0,0.22769682031939742,0.8206846902554389
cub_00008,integrated_gradients,0,0,0.04194662572699599,0.764808231353527
cub_00008,gradient_shap,0,0,0.038121850782772526,0.7632014517381321
cub_00008,occlusion,0,0,0.21994742312817836,0.8515016991121228
cub_00008,guided_backprop,0,0,0.09315301891765557,0.6697739528433887
cub_00010,gradcam,0,0,0.06083035067713354,0.29569220702978777
cub_00010,gradcam++,0,0,0.03588726297239191,0.2989915169950109
cub_00010,integrated_gradients,0,0,0.026374248723732303,0.5009246632631402
cub_00010,gradient_shap,0,0,0.03021409258362837,0.5356561618566048
cub_00010,occlusion,0,0,0.034852620068704716,0.5284586479829159
cub_00010,guided_backprop,0,0,0.03587749433354475,0.3104715980531182
cub_00012,gradcam,0,0,0.10070811374462207,0.7642197876644786
cub_00012,gradcam++,0,0,0.12467545426334256,0.7621086923812982
cub_00012,integrated_gradients,0,0,0.19012476654606875,0.7755075404362288
cub_00012,gradient_shap,0,0,0.132996765821008,0.7981645849475172
cub_00012,occlusion,0,0,0.1895091740123462,0.8139571263396647
cub_00012,guided_backprop,0,0,0.13614318882464432,0.707729508675402
cub_00015,gradcam,0,0,0.11851648867013866,0.6948552126938012
cub_00015,gradcam++,0,0,0.14435429821605794,0.68810662459
cub_00015,integrated_gradients,0,0,0.03447361459839158,0.4726911523321178
cub_00015,gradient_shap,0,0,0.032891182851744825,0.5048496439063455
cub_00015,occlusion,0,0,0.07986808360437862,0.5455099796818104
cub_00015,guided_backprop,0,0,0.06294685131288133,0.46696655712439683
cub_00024,gradcam,0,0,0.3222752589907032,0.8138096318522002
cub_00024,gradcam++,0,0,0.3667600275890437,0.8098094234650489
cub_00024,integrated_gradients,0,0,0.16944340108311737,0.6677267614693846
cub_00024,gradient_shap,0,0,0.12285417527309618,0.7433694576320704
cub_00024,occlusion,0,0,0.5503651452425402,0.6241968312708196
cub_00024,guided_backprop,0,0,0.2634472538891715,0.835882096545538
cub_00026,gradcam,0,2,0.4917020906694234,0.21738644917495548
cub_00026,gradcam++,0,2,0.5439833325799555,0.17918755076825615
cub_00026,integrated_gradients,0,2,0.020078309834934773,0.34804525625077076
cub_00026,gradient_shap,0,2,0.026255222433246676,0.28457465068786403
cub_00026,occlusion,0,2,0.11316711129620671,0.2604406581260264
cub_00026,guided_backprop,0,2,0.020418666320620105,0.2682962709630374
cub_00034,gradcam,0,0,0.14894363644416445,0.8044581388530788
cub_00034,gradcam++,0,0,0.14148148035747002,0.8080530158185866
cub_00034,integrated_gradients,0,0,0.03189139586756937,0.7302242423116695
cub_00034,gradient_shap,0,0,0.03531589446938597,0.7673265737888868
cub_00034,occlusion,0,0,0.24442226716200824,0.6942645105475094
cub_00034,guided_backprop,0,0,0.049081824318272994,0.7067654496000614
cub_00037,gradcam,0,0,0.44791922186850575,0.157587824849179
cub_00037,gradcam++,0,0,0.5178420890064445,0.1386300904152449
cub_00037,integrated_gradients,0,0,0.0358306211361196,0.3462085525970906
cub_00037,gradient_shap,0,0,0.03215798958553933,0.3422640569449868
cub_00037,occlusion,0,0,0.07295072930282914,0.6604152990446891
cub_00037,guided_backprop,0,0,0.03499968237592839,0.3662975310056936
cub_00049,gradcam,0,0,0.21898757919552733,0.5559197194117587
cub_00049,gradcam++,0,0,0.7369323329941836,0.5386830928677226
cub_00049,integrated_gradients,0,0,0.05836937419953757,0.6341435109206941
cub_00049,gradient_shap,0,0,0.052254068054026014,0.6898243042698595
cub_00049,occlusion,0,0,0.19476237820344977,0.618308200960746
cub_00049,guided_backprop,0,0,0.06717682512826288,0.545922071574023
cub_00053,gradcam,0,0,0.551638791145524,0.5005667384422849
cub_00053,gradcam++,0,0,0.6250836182327475,0.3122888158250134
cub_00053,integrated_gradients,0,0,0.0601474924653303,0.4961214164213743
cub_00053,gradient_shap,0,0,0.06587779658730142,0.5426933050097431
cub_00053,occlusion,0,0,0.2515796766791027,0.8222339585830922
cub_00053,guided_backprop,0,0,0.06871001431136392,0.5304295628971885
cub_00059,gradcam,0,0,0.308345375926001,0.6930096389667596
cub_00059,gradcam++,0,0,0.35035164681612513,0.7514456156583037
cub_00059,integrated_gradients,0,0,0.127094939671224,0.7971355525718536
cub_00059,gradient_shap,0,0,0.10213391857105308,0.790369808668038
cub_00059,occlusion,0,0,0.229658118163934,0.6708619257376995
cub_00059,guided_backprop,0,0,0.1681325133133214,0.8062516484584196
cub_00064,gradcam,1,1,0.07738333547022194,0.5340443240478635
cub_00064,gradcam++,1,1,0.07499415808124468,0.5314789937809109
cub_00064,integrated_gradients,1,1,0.028295220696600155,0.4849123797845095
cub_00064,gradient_shap,1,1,0.02869476026389748,0.48523302383255207
cub_00064,occlusion,1,1,0.037332929251715545,0.49108404265716665
cub_00064,guided_backprop,1,1,0.0316661091230344,0.4813568972051143
cub_00070,gradcam,1,1,0.43187730852514505,0.040096916258335086
cub_00070,gradcam++,1,1,0.6652654077857735,0.03882248827721921
cub_00070,integrated_gradients,1,1,0.03456694600172341,0.801316877361387
cub_00070,gradient_shap,1,1,0.03526851939968765,0.822875272668898
cub_00070,occlusion,1,1,0.037181662581861015,0.754640452750027
cub_00070,guided_backprop,1,1,0.03576598134823143,0.7282481844071298
cub_00071,gradcam,1,1,0.16582763404585424,0.8326737821102143
cub_00071,gradcam++,1,1,0.1684697697870434,0.8554432488977909
