baseline_mode,samples,map_spearman_mean,top20_iou_mean,mean_abs_diff_mean,identical_fraction,ig_insertion_auc_mean,gradient_shap_insertion_auc_mean,insertion_auc_delta_mean,input_grad_l2_mean
black,48,0.5854901028863171,0.32500240854535695,0.029812468235225726,0.0,0.4965142105977671,0.545019764569588,0.048505553971820825,0.3281231561365227
gray,48,0.4616481887127714,0.24862336727286014,0.03667950793169439,0.0,0.48890400377179805,0.5209947959248287,0.032090792153030644,0.3281231561365227
mean,48,0.5030175976766901,0.2951188136073471,0.024677284294739366,0.0,0.5136098276358098,0.5593192040532206,0.04570937641741086,0.3281231561365227
