sample_id,label,target,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00005,0,0,0.6391018668294067,0.6359634822301924,0.5471438971335665,0.3332004782781985,0.392330952199904,0.23393790347371657,0.42357146395486195,0.28357636224098237,0.3856761207504109,0.4263102356665494,0.5205181031631724,0.4374731413837559,0.2428636572817084,0.29084126575765373,0.41770875151960285,0.3745633860694473,0.4869956335892464,0.5924442349984291,0.46811566986789666,0.29084126575765373,0.6019598742038187,0.3978269954032595,0.44403875554245786,0.364952201427225,0.585611888185639,0.39433097123801586,0.3415905568744109,0.25526250619118374,0.42325776269972254,0.3437831389183457,0.46136566358638836,0.37702050460230724
cub_00009,0,0,0.5745738793015813,0.6962474645030426,0.5137714981332938,0.4477385847219217,0.45454078844937346,0.36660765354759633,0.4747830334910502,0.40921218929925574,0.44863444426889426,0.5513811309204989,0.46560391759659253,0.5087956698240866,0.3922568562059222,0.43071000855431996,0.4387721161949429,0.4720551562270794,0.4529574954626397,0.6225192061459667,0.5366894531303017,0.4342885728578575,0.7011877535574144,0.5461058470071644,0.4535199343161087,0.5342413923571698,0.6744121305400875,0.5083421013076808,0.416771237232352,0.45517835354912795,0.4523551045558932,0.4991866311742088,0.49672197616242986,0.49884066413313183
cub_00016,0,0,0.7076532284940688,0.7345086855068707,0.4811289770594619,0.23804823885016346,0.5331272835234601,0.2905922448717124,0.41724739258434984,0.2115175660992394,0.44789963250886483,0.25736434108527134,0.35785557561180625,0.2738004569687738,0.44570708995195185,0.32790789996030173,0.33552580580447444,0.24844488678775814,0.4195641710799163,0.337401055408971,0.514492356047668,0.309881216551364,0.63493710435292,0.4061514748125832,0.3501527824442882,0.2668707823044239,0.6093393838508271,0.3807099614749587,0.3378173579098045,0.2328225708378937,0.29208907752690644,0.24470501565473632,0.4589691479167179,0.3173817598116681
cub_00022,0,0,0.9664624634113488,0.7570028011204482,0.44870380056719655,0.21847872275845323,0.33270837209546716,0.17531326853261506,0.4497464807846768,0.23171330387825234,0.4293564045523605,0.19663617586308646,0.396650357006568,0.2086720867208672,0.29199778956303857,0.16652136006974716,0.382966979296908,0.20852652495935448,0.37706010551253466,0.1445749124985887,0.3402000263990335,0.22932745314222713,0.6775238350465572,0.4352116704805492,0.24630150942981066,0.1717621221753453,0.4895744558492387,0.32571504062355505,0.19046816494584115,0.16885737345785773,0.24805427969019364,0.18831321064353534,0.4178516682767182,0.25510840179496547
cub_00027,0,0,0.7040128685653295,0.6260228469577899,0.3539214276623755,0.2328767123287671,0.1631230671628907,0.14607126541799909,0.2225105983673648,0.16665697843399407,0.4270444117124432,0.34708657232077605,0.2187811639565414,0.23629419736355797,0.03136313223941062,0.1426131511528608,0.1177113634450162,0.1895448079658606,0.3285604026014933,0.36697680690399137,0.298054224730906,0.2187272285644887,0.49803216675331213,0.3071512309495897,0.33653836764330186,0.23680839382663332,0.5646510714684391,0.3511512050626094,0.21433207045734734,0.21962223291626565,0.3097535778219618,0.26853531877619974,0.3192259943058755,0.2704092632627589
cub_00032,0,0,0.802905866588073,0.8523304107060452,0.48843629835225827,0.3841114405903041,0.5540538680769648,0.3648418905134308,0.5217985275244517,0.3974376827739869,0.5099690763756013,0.6031469913813553,0.4749657416157638,0.37078267996175385,0.44250130498034085,0.33978638184245663,0.47506687232776323,0.38356542120501863,0.37343056312450706,0.5725587528116032,0.5028262223791399,0.34362029722854465,0.653992961777561,0.5502432996060863,0.45513908890247234,0.41021004312143555,0.6712899070406523,0.4227988090174394,0.46544973269839873,0.34717607973421927,0.47587071338522263,0.4006908462867012,0.524513116343278,0.44955340178535874
cub_00043,0,0,0.7836984560231228,0.5630841121495327,0.558644304896645,0.34499396863691195,0.4267922238254706,0.30519607205566757,0.5032698017658193,0.35809987819732036,0.37192870300165315,0.3212772890192245,0.6019486560872175,0.2898457583547558,0.48949444493354893,0.28226424738052647,0.595526752782688,0.3210030935299151,0.3955464068252766,0.430133314523524,0.5053465576929992,0.3286991062562066,0.7291990045798981,0.5034834069967787,0.3099281487959623,0.20483717613501307,0.6483065772916975,0.42008066227977076,0.2961299426565418,0.262453300124533,0.3109816163440438,0.2486912607008684,0.501782773166839,0.3456095097560366
cub_00048,0,43,0.5579813813819536,0.6460264085950955,0.4073311507357595,0.32440279794113763,0.3764454219640584,0.34086050240513094,0.4202960123514163,0.3540682768857104,0.32134819842041257,0.41981792717086835,0.21146425762887985,0.3094539048737522,0.3856366893897669,0.38423339540657975,0.46237654942512746,0.4221938775510204,0.3837514185302527,0.44811084922505534,0.3704596437918274,0.2685670943682447,0.4357788611510806,0.2956746287927695,0.2145628949247302,0.2390759640652692,0.5963162593758372,0.4252236898167874,0.2492652252932659,0.27620066721218606,0.30274443307681087,0.30587401777663276,0.3797172264960786,0.3639856001390827
cub_00051,0,0,0.764968911598669,0.65389369592089,0.5197904004558308,0.3587434838534967,0.40158231954393464,0.2996179498802046,0.45980426365113464,0.3386246915227106,0.4100715538767635,0.3309045555993173,0.47263507308965,0.4188759278897137,0.3581252513160591,0.3416672237449027,0.4150251004789459,0.38614545203398026,0.43258689320410043,0.3705806800513757,0.500471518484303,0.3922031076581576,0.6589962254023958,0.5067567567567568,0.38782887386731624,0.3647684437264405,0.5608810625674814,0.4119881806669481,0.35392283149211184,0.3140838680407026,0.3729244858468061,0.35121626124625127,0.4713076509917001,0.3893380185727899
cub_00052,0,2,0.7340274435111632,0.7002710945442223,0.45387406288374765,0.3151169648122666,0.44849381029795127,0.31978694022489645,0.5964488807380011,0.3767320620112498,0.6036202560586943,0.4901514037924445,0.29635423776928027,0.31503079543965407,0.2809451996743965,0.3505147702038894,0.46893322601268445,0.4143763213530655,0.5372199062800285,0.519181777311554,0.5099449980771469,0.33808920594706315,0.5085337174664138,0.36912476976601405,0.45532753718200647,0.3689149956113699,0.6493829940260653,0.45899970921779587,0.4359749443906118,0.34333797124494797,0.533664316981591,0.4416240045506257,0.5008497020899856,0.4080835190687372
