sample_id,label,target,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00007,0,1,0.5142423486812032,0.44357389304197814,0.2955143430132601,0.23193473193473194,0.09472733562004447,0.1322658848734284,0.2100434309938732,0.190597581218876,0.31964784845805905,0.23323810102729317,0.4900315606948361,0.2968467304212975,0.21192205682191864,0.18525955235339278,0.43873168253379813,0.24604209349972062,0.4522442349625974,0.2925538696927196,0.3004010630008098,0.22184341896992574,0.6812703374338848,0.40016743407283384,0.4480266458015698,0.28217289571871246,0.4530822144647402,0.2956746287927695,0.1611182188869981,0.17237192089742107,0.3712582620675282,0.24946077525112467,0.36281743889567475,0.258266900784415
cub_00013,0,4,0.6352473706594838,0.5077755240027045,-0.08213609326361372,0.09070159230476604,0.25453696376301155,0.16971675020398647,0.03678348201946155,0.12191849740063726,0.13021237113916417,0.08006605582782868,0.020979748481431346,0.16828686186623204,0.26034284530492113,0.23538101686569002,0.029112572697400065,0.1915222037520779,0.15602979351076907,0.17583947108971756,0.20515388513599253,0.20035885167464115,0.49154179913140733,0.3171019818873868,0.07496226442514065,0.15421837640897187,0.4861575789781611,0.33196177329439874,0.23713361125066484,0.1693967008882224,0.10630324804398808,0.171897578174672,0.2028240960851589,0.2057428823761289
cub_00023,0,0,0.6828978120054084,0.5840568271507498,0.3889211634742751,0.26520834646662045,0.3622686949421779,0.30197859228024654,0.30390397029370675,0.23310395674612927,0.37960063458424537,0.24569918898992382,0.3111871351882717,0.3533378287255563,0.3849288328087605,0.36847129414973406,0.23009173086600893,0.30088151413015296,0.3918566424540963,0.29296600982080223,0.2936274428240511,0.27753023551877787,0.6772802584487226,0.4219923480232393,0.24801222832608483,0.26932949352031554,0.3872013706364614,0.30672569828764895,0.41655161105954386,0.2879557870664464,0.23748838427031657,0.2352260265626904,0.3797211941454754,0.31629754316260233
cub_00025,0,0,0.8951778568373795,0.862043389579084,0.6207992753288464,0.5499305448371662,0.48236120503486096,0.3681198910081744,0.6035370459481135,0.5096211665664462,0.5659836132828487,0.4317267659304213,0.572943724481814,0.5202242084532647,0.43037409610294974,0.35920357578220236,0.5332268524343491,0.4866666666666667,0.477873408837955,0.4491458794939604,0.5461614447156194,0.37701543739279586,0.7479562997344895,0.655940594059406,0.5791556830370826,0.45863309352517984,0.7166403323163136,0.4543478260869565,0.4074628653051332,0.2925538696927196,0.5526158966954312,0.4333686815129021,0.5821513066728793,0.4805694393724897
cub_00028,0,0,0.7523300238525877,0.5913450106998495,0.3602606176337225,0.28919994863233595,0.27812121089289726,0.2558954150247076,0.2489986602430658,0.23511318897637795,0.4579708267730661,0.40678318768206406,0.47181888691721374,0.35233474833232264,0.40917290338747603,0.3125367863449088,0.3574998494221261,0.297349709114415,0.4726071879793745,0.4649566473988439,0.4159434940108129,0.26920887877063177,0.6020657388549456,0.4287748273652737,0.2940285423059566,0.28404053198226725,0.6015905424678022,0.38042506362198225,0.2682944071597512,0.2635547800074785,0.24370850908867286,0.24089601566803354,0.4156274267326314,0.3381609826414328
cub_00030,0,0,0.7494485616172865,0.5198788337750851,0.5046461635105022,0.3330233793836344,0.4487549714439664,0.31202196509119434,0.4861816233187615,0.3241406610806888,0.34958304971132365,0.34467435999469426,0.44139480375825013,0.37155743866602886,0.4354909085450187,0.3467087163658324,0.4642768661046294,0.3822314049586777,0.37242705812638294,0.3481614469047144,0.566153758536865,0.36382169067681436,0.7429034794062441,0.47086844998167826,0.4040252147884567,0.2663960024984385,0.6936564968805765,0.47443432265647956,0.43614649957708224,0.27100050150451355,0.43808188793702185,0.27044301021367256,0.502211422884158,0.3599574789168098
cub_00031,0,0,0.7951498577364862,0.6951858108108108,0.33963584366250177,0.24998443046646324,0.3683911765479094,0.2422479420684533,0.25737569684071476,0.1881955955481885,0.21229835566495905,0.2531520395550062,0.33837065112955533,0.25413984877835405,0.3506423450352745,0.25366981073146355,0.24862641881382647,0.20323741007194246,0.16483407766238517,0.24776909348267587,0.34472694286013317,0.24875559980089595,0.5250389358317682,0.34050227090569063,0.22381818654128788,0.2319236845303196,0.5344575161598012,0.3573650750710131,0.2567467598225297,0.2253716910431524,0.24403713380224828,0.2172059794680915,0.3469433265407587,0.28058041882216805
cub_00033,0,0,0.5833679436603052,0.47638664116521995,0.47447697006303374,0.30113452188006484,0.4470525275955895,0.30613041780554473,0.43906689718615444,0.2697709730482095,0.54436911430759,0.34932783175828563,0.4598761153568604,0.35663106664864136,0.3963058277950338,0.32483992342728896,0.40040320446172095,0.31305201177625125,0.3849828621397546,0.24294997547817557,0.5237517514515845,0.343643301867845,0.6338143102139507,0.48227474150664695,0.46776109682983363,0.33696010550609956,0.6712776637185033,0.4343910806174957,0.40005266159609126,0.27163823381836427,0.42531413758081144,0.3026856849139039,0.48345820559712116,0.3407877674145358
cub_00036,0,0,0.2805606515598057,0.2126027066215563,0.31878378823233455,0.27661875079506426,0.46352990639216,0.3099464821824827,0.3023514082135935,0.28159121384330504,0.5036491615751693,0.3283542976939203,0.012573988290286619,0.14352458549370406,-0.01372827212812179,0.1407946342295231,-0.06481574579914388,0.13569488456315074,-0.10144993272716771,0.06542301629006832,0.36894533053969436,0.281772895644399,0.6773359085833348,0.4475297511720159,0.33179308952501957,0.2334225574887456,0.5131227789908396,0.3558062554887523,0.3425840692841587,0.2795027136185788,0.3253980876341109,0.2368838457784285,0.2840422812110716,0.24863123939357967
cub_00040,0,0,0.9364196274378115,0.8179347826086957,0.36265572769466586,0.34454344476452065,0.36669965904694923,0.36243296449663975,0.4299444444934343,0.38681592039800994,0.38368998135703053,0.41014049241897343,0.3345132471869536,0.3158067265455976,0.3554612874374551,0.33782162378349556,0.4161625128538537,0.3752226942579142,0.33408826632403993,0.3648603163917873,0.40833126323812197,0.3042630621263322,0.5894006949172974,0.3982165250104501,0.39722594622879803,0.3065472354684882,0.5821418724827829,0.3912380424234022,0.3670640196204053,0.32646385345109585,0.3778643701303486,0.337489280295534,0.4427775280299965,0.3853197976293957
cub_00047,0,0,0.836935775284654,0.704603363342959,0.5574380214643042,0.48523643898468144,0.5433226038136071,0.38366080661840746,0.6248327607516686,0.5244967717432586,0.4910008868070558,0.46084011816413284,0.5261425998371475,0.4337762537505358,0.5315485342065142,0.35745688197497466,0.5942700990715958,0.46903820816864294,0.5751531715355239,0.4841519654490887,0.5132953206966498,0.3769209659714599,0.6959226315316395,0.6134737519093175,0.4876537964971294,0.430133314523524,0.6497898657339216,0.4561416237393891,0.4671357784799315,0.36229254854532017,0.5203599049669201,0.47358092884657316,0.5743201167118843,0.467720262782151
cub_00058,0,0,0.9697319152187401,0.8061555075593952,0.44790802852500455,0.24588739214103916,0.47297219791183376,0.29492225304858377,0.3927593976217706,0.2413409203364671,0.3890177404592495,0.26316117375864434,0.4260278372516997,0.23249815770081061,0.44064534270400085,0.2635356333417275,0.36925488599166983,0.2262479379238712,0.31354454010445076,0.2370347773032337,0.35439502953931085,0.24465116279069768,0.5595660484475461,0.33746501399440226,0.22639530983317532,0.20576865893547427,0.5470298198150848,0.365863617803185,0.24886223087680093,0.23297251277061543,0.19598142806166777,0.22389230954968006,0.4236061168241336,0.29475980193052187
cub_00067,1,1,0.7973175970474813,0.6747329773030708,0.5700397038212024,0.4221938775510204,0.3830476064850374,0.3081736409855299,0.5414298208756826,0.414675407062804,0.4519535852806256,0.40418311517418104,0.5904288329107897,0.4609113408065221,0.38415539133067605,0.34130856111742297,0.5560615123121798,0.4464864864864865,0.43112530055551634,0.3763491955739597,0.5194775868918294,0.3724015317286652,0.7165965891257005,0.5462249614791987,0.42788927497833223,0.35040628746503266,0.640835432447442,0.4380911435941531,0.35911463336672156,0.2867297074316177,0.4239598388280146,0.35247815355880197,0.5195621804171487,0.4130230924878978
cub_00068,1,1,0.7094851798297196,0.6469719350073855,0.5401955577086454,0.42765685019206146,0.4181907900834548,0.3294912559618442,0.5635394819597551,0.4473209778611091,0.6020174184390394,0.4397812810680301,0.42344499279405307,0.40842105263157896,0.32662690883091317,0.3218731475992887,0.4649006655936919,0.4211868007364396,0.40262237949085306,0.43682233718375735,0.49427765439105487,0.32808364213869773,0.6342594257259293,0.5187287173666288,0.4450140959798651,0.41200640713141584,0.6431464123704478,0.41328075487641713,0.3841630681841519,0.27732627732627735,0.4922784172222047,0.42420623770722116,0.502944163240252,0.4168771783192101
