sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00007,0,0,0.22828267727745696,0.22828267727745696,0.22594736124738118,0.22062683398253283,gradcam++ gradcam occlusion,0.17178382616492616,0.17492942468123157,0.16471330564246786,0.16429966374385413,0.16624446624971145,0.1580293135178089
cub_00047,0,0,0.8309646300505847,0.8309646300505847,0.8180620096158235,0.8142067759763449,occlusion gradcam++ gradcam,0.16782647915417176,0.16847560596855216,0.16070671760648528,0.1629184321602028,0.18043809001476435,0.15963467509582363
cub_00103,1,1,0.7396742355660535,0.7396742355660535,0.7452282693819143,0.70344262389699,gradcam++ occlusion guided_backprop,0.15337153711037887,0.17296978391868756,0.16652288043204966,0.16740273946824424,0.17117562328511993,0.1685574357855198
cub_00153,2,2,0.912685410771519,0.912685410771519,0.9125222698785365,0.915055199060589,gradcam gradcam++ occlusion,0.17465413627288315,0.17317273581947626,0.1628982779233284,0.16310186408409738,0.1696946930543697,0.15647829284584516
cub_00210,3,3,0.7741858329973185,0.7741858329973185,0.7557586048147641,0.8319276552996597,occlusion integrated_gradients gradient_shap,0.1696562305211598,0.14011061173626527,0.17096486056239238,0.17095678559333397,0.17786198401956702,0.17044952756728152
cub_00249,4,4,0.9016085392329842,0.9016085392329842,0.9007062351796775,0.9260769194457679,occlusion gradcam integrated_gradients,0.17453325826098087,0.13629007578031807,0.17227122022554098,0.17104040358938985,0.1749872152354336,0.17087782690833658
cub_00303,5,5,0.8239127111970447,0.8239127111970447,0.8043824000051245,0.8463349921628832,gradient_shap integrated_gradients gradcam,0.17544557721870616,0.13713920214895875,0.17553702540859173,0.17558302227226263,0.17476795507207835,0.16152721787940225
cub_00351,6,6,0.9226567891571903,0.9226567891571903,0.9233594355318928,0.9187849161360646,gradient_shap integrated_gradients occlusion,0.16951595305188039,0.1329440849840389,0.1752381982223609,0.1768623505113818,0.1749503328062943,0.1704890804240437
cub_00412,7,7,0.876489192666486,0.876489192666486,0.8755521331448108,0.8807079229969532,gradcam++ occlusion gradient_shap,0.15712039968975045,0.18011427182229242,0.1673626842821204,0.16887076257001227,0.17525812189880638,0.15127375973701807
cub_00453,8,8,0.898008896614192,0.898008896614192,0.8954442726622802,0.895090966130374,gradcam occlusion gradient_shap,0.17789546964035302,0.13892705310906817,0.167231686406997,0.16990760573379463,0.1775115707287555,0.16852661438103156
