sample_id,method,label,target,deletion_auc,insertion_auc
cub_00003,gradcam,0,0,0.6275084548149609,0.2575711031066021
cub_00003,gradcam++,0,0,0.5801258584062453,0.5020096337408178
cub_00003,integrated_gradients,0,0,0.13881141640958958,0.4574109609166043
cub_00003,gradient_shap,0,0,0.14004315696365668,0.46522163626941626
cub_00003,occlusion,0,0,0.6041448421179668,0.7738503424203371
cub_00003,guided_backprop,0,0,0.1169399301914382,0.6100634953341797
cub_00003,attention_rollout,0,0,0.2577004136583127,0.6398249888545252
cub_00004,gradcam,0,0,0.056920555428951046,0.3319918496985337
cub_00004,gradcam++,0,0,0.1493208128536935,0.04209711026487638
cub_00004,integrated_gradients,0,0,0.038406076771934756,0.38580387873516886
cub_00004,gradient_shap,0,0,0.033586877786001425,0.3921723547086003
cub_00004,occlusion,0,0,0.026815644703310684,0.38231169796054015
cub_00004,guided_backprop,0,0,0.01945763372350484,0.33178335509583123
cub_00004,attention_rollout,0,0,0.07371472825761885,0.29515895723743596
cub_00011,gradcam,0,0,0.04777861590700923,0.08965975731807702
cub_00011,gradcam++,0,0,0.07303038253012346,0.019268520700279613
cub_00011,integrated_gradients,0,0,0.010293284021463478,0.050110316589052656
cub_00011,gradient_shap,0,0,0.009657071690890005,0.0507092892192304
cub_00011,occlusion,0,0,0.21202880735654617,0.1623892988762236
cub_00011,guided_backprop,0,0,0.009426264987996548,0.06328455073671646
cub_00011,attention_rollout,0,0,0.1372109514399199,0.07093748824845533
cub_00019,gradcam,0,0,0.3209234841895523,0.2811479293086449
cub_00019,gradcam++,0,0,0.3465890080813551,0.17119184713228602
cub_00019,integrated_gradients,0,0,0.13212954464397625,0.21689851616392838
cub_00019,gradient_shap,0,0,0.12887417017773262,0.21600347665735165
cub_00019,occlusion,0,0,0.11563681895640913,0.5814555029573967
cub_00019,guided_backprop,0,0,0.11917048274772242,0.22251809838344339
cub_00019,attention_rollout,0,0,0.31106339879188455,0.288062212845034
cub_00021,gradcam,0,0,0.29190032853657616,0.3168467020397656
cub_00021,gradcam++,0,0,0.22071777538949391,0.4166987329605035
cub_00021,integrated_gradients,0,0,0.04481896439392585,0.13642675932278506
cub_00021,gradient_shap,0,0,0.0417206835714751,0.11910701898814292
cub_00021,occlusion,0,0,0.396066100463213,0.23543977241643005
cub_00021,guided_backprop,0,0,0.024478678082232364,0.16132211411750175
cub_00021,attention_rollout,0,0,0.21429587014572463,0.22054687841882695
cub_00038,gradcam,0,0,0.16790800393646355,0.4659743882875773
cub_00038,gradcam++,0,0,0.20139714858814842,0.4099129591064411
cub_00038,integrated_gradients,0,0,0.1428475858498132,0.18217188023372727
cub_00038,gradient_shap,0,0,0.16442660106840779,0.19298753904567997
cub_00038,occlusion,0,0,0.4615499860592536,0.26822003090492214
cub_00038,guided_backprop,0,0,0.17952328822138955,0.22423711007322708
cub_00038,attention_rollout,0,0,0.5251425057111192,0.13286968138563676
cub_00039,gradcam,0,0,0.22465448030125118,0.4950848886495804
cub_00039,gradcam++,0,0,0.2953397684817901,0.33094644788361616
cub_00039,integrated_gradients,0,0,0.04950714295700891,0.3965718691819346
cub_00039,gradient_shap,0,0,0.04075957665772876,0.4354517266066978
cub_00039,occlusion,0,0,0.28493912397389065,0.7110206845900392
