sample_id,consensus_insertion_auc,consensus_expert_roi,fw_consensus_insertion_auc,fw_consensus_expert_roi,uniform_consensus_insertion_auc,uniform_consensus_expert_roi,topk_consensus_insertion_auc,topk_consensus_expert_roi,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
8785691_481125819_8_spinal_canal_stenosis_l1_l2,0.9890441074967383,0.21923309564590454,0.9890441074967383,0.21923309564590454,0.9887768015265463,0.21775658428668976,0.9884170308709145,0.25990602374076843,occlusion attention_rollout gradcam++,0.140126411922026,0.14361611287731946,0.1399395942030119,0.1428954549484832,0.14556624433298765,0.14239050056430266,0.14546568115186914
8785691_1570286759_10_left_neural_foraminal_narrowing_l1_l2,0.9684225901961326,0.22816793620586395,0.9684225901961326,0.22816793620586395,0.9684838280081749,0.22331205010414124,0.9725380644202232,0.27417439222335815,attention_rollout occlusion gradcam,0.14738506302603718,0.14316052905160118,0.13657403208570013,0.1334163487576624,0.1490211054203598,0.141394609781564,0.1490483118770753
8785691_2406919186_12_left_subarticular_stenosis_l3_l4,0.8334807619452477,0.2772088646888733,0.8334807619452477,0.2772088646888733,0.8331211522221565,0.27649950981140137,0.8857168719172478,0.28260523080825806,attention_rollout occlusion gradient_shap,0.1239663867115553,0.1368181575758379,0.1412012517002134,0.14623683189975709,0.15215838598994422,0.1417862702137426,0.1578327159089495
22191399_434280813_12_left_neural_foraminal_narrowing_l1_l2,0.982881110906601,0.2811753451824188,0.982881110906601,0.2811753451824188,0.9827881515026092,0.28107333183288574,0.984506207704544,0.28260523080825806,occlusion attention_rollout gradcam,0.1438393646259518,0.13833907183947008,0.14317537285522594,0.14319362593414353,0.14433784011944303,0.14299945617252272,0.1441152684532428
22191399_3687121182_29_left_subarticular_stenosis_l3_l4,0.43188208192586897,0.27883315086364746,0.43188208192586897,0.27883315086364746,0.42790333479642867,0.2786298990249634,0.5121657669544221,0.28260523080825806,gradcam occlusion attention_rollout,0.154608284335114,0.14047652629532642,0.13719531890055656,0.1356074120355667,0.14770973975698162,0.13971777160977294,0.1446849470666817
33736057_758801267_3_right_neural_foraminal_narrowing_l4_l5,0.8688385516405105,0.24441178143024445,0.8688385516405105,0.24441178143024445,0.863590982556343,0.24095642566680908,0.9257720708847047,0.19995525479316711,occlusion guided_backprop gradient_shap,0.11937734804594703,0.13523639018259234,0.14837369039077217,0.1493680607069882,0.15105583560060207,0.14993212399890896,0.14665655107418937
33736057_1379151387_7_spinal_canal_stenosis_l1_l2,0.9838852062821388,0.19381168484687805,0.9838852062821388,0.19381168484687805,0.980081944167614,0.18563006818294525,0.9913749590516092,0.2615613639354706,attention_rollout gradcam occlusion,0.14752166866574934,0.13375723985394045,0.1405846054593567,0.14383520213041712,0.1468744378394817,0.13966630896541302,0.14776053708564174
33736057_1847558962_11_right_subarticular_stenosis_l3_l4,0.9250686980783939,0.2424897700548172,0.9250686980783939,0.2424897700548172,0.923337934166193,0.2380915731191635,0.9370988823473454,0.28260523080825806,occlusion attention_rollout gradient_shap,0.13164250569505054,0.14008635045474901,0.14308124140557374,0.1457249413551338,0.15044595931821553,0.13897779108385816,0.1500412106874192
40745534_1395478236_34_right_subarticular_stenosis_l3_l4,0.6029249787330627,0.28148147463798523,0.6029249787330627,0.28148147463798523,0.6025308579206468,0.2811753451824188,0.606094726920128,0.28260523080825806,attention_rollout integrated_gradients gradient_shap,0.1408441804137641,0.14014097646618334,0.14485974655597836,0.14394312175385413,0.1418519473997737,0.14292119515050178,0.14543883225994458
40745534_2948359731_13_left_neural_foraminal_narrowing_l1_l2,0.5569702178239823,0.2350502759218216,0.5569702178239823,0.2350502759218216,0.5512304738163948,0.24172261357307434,0.6278044238686562,0.13944758474826813,gradcam gradcam++ occlusion,0.16007134371653864,0.15946976465834434,0.14033266632395655,0.1329038497051837,0.14067800148731577,0.1274167645838367,0.13912760952482445
53418228_345993377_4_left_neural_foraminal_narrowing_l3_l4,0.6408143877983092,0.2799522578716278,0.6408143877983092,0.2799522578716278,0.6402788147330283,0.2799522578716278,0.6531879425048829,0.28199201822280884,gradcam++ attention_rollout occlusion,0.1423267423693681,0.1559190328233525,0.13500286123423771,0.13757725116437103,0.14347222455560205,0.13489287535775177,0.15080901249531684
53418228_1921001089_7_left_subarticular_stenosis_l5_s1,0.4132168434560299,0.2340082824230194,0.4132168434560299,0.2340082824230194,0.41190180853009223,0.23656906187534332,0.4356578454375267,0.17164288461208344,gradcam++ attention_rollout gradcam,0.14261049458764327,0.16299901266532235,0.13091997302672595,0.1337465078449385,0.13993704532944468,0.14148001085633988,0.14830695568958543
53418228_2698575616_7_spinal_canal_stenosis_l1_l2,0.9663735270500183,0.2058911770582199,0.9663735270500183,0.2058911770582199,0.965774068236351,0.20607195794582367,0.9704355746507644,0.12857744097709656,gradcam gradcam++ integrated_gradients,0.14482535118099335,0.14357563547861493,0.14316336040342342,0.14276271185124523,0.14302239608503767,0.13968910187689934,0.14296144312378606
64092030_1924652166_4_left_subarticular_stenosis_l2_l3,0.5427041389048101,0.2583294212818146,0.5427041389048101,0.2583294212818146,0.541507127135992,0.25803425908088684,0.5718412064015865,0.20562008023262024,guided_backprop gradient_shap integrated_gradients,0.1394945570684312,0.13459485154619347,0.14958164863922016,0.15037580372758305,0.1354536336682822,0.15192301179098328,0.13857649355930673
64092030_3762658078_5_left_neural_foraminal_narrowing_l1_l2,0.9677841186523437,0.2617833912372589,0.9677841186523437,0.2617833912372589,0.9676304936408996,0.26079460978507996,0.9724097132682801,0.28223106265068054,occlusion attention_rollout gradcam,0.14425466120144254,0.14362030093040531,0.13990253682919593,0.1400146837123685,0.14548624271549143,0.14137518786746078,0.14534638674363554
74782131_2762032004_6_right_neural_foraminal_narrowing_l5_s1,0.648221581429243,0.28137943148612976,0.648221581429243,0.28137943148612976,0.6377492286264896,0.2791381776332855,0.7512962855398655,0.28260523080825806,occlusion attention_rollout integrated_gradients,0.13886714775460374,0.11866115946915175,0.14655387293952565,0.13721993051489553,0.16223251263860902,0.13885170287377094,0.15761367380944336
74782131_3401861580_5_left_subarticular_stenosis_l2_l3,0.9649023875594139,0.20942644774913788,0.9649023875594139,0.20942644774913788,0.9634478285908699,0.20219682157039642,0.9713072314858436,0.25548186898231506,attention_rollout gradcam occlusion,0.15029416931236508,0.1371768638191958,0.13752486844042017,0.1405209270730663,0.14645667062605863,0.13518329684844307,0.15284320388045092
