model,n_samples,feature_autocorrelation,feature_autocorrelation_std,feature_total_variation,feature_total_variation_std,feature_entropy_norm,feature_entropy_norm_std,feature_coherence_score,feature_coherence_score_std,feature_fragmentation_score,feature_fragmentation_score_std
resnet50,300,0.6476197532715842,0.055654218687275804,0.5562010439352618,0.042368657399860864,0.7671642599220655,0.041570129986812684,0.416827164411465,0.04076026894228393,0.4281113441545006,0.053634556996366725
densenet121,300,0.6761995642492971,0.05850555781143849,0.574799540924384,0.0567613673011394,0.8012883766869822,0.0464773573856596,0.4307563743671066,0.046742145686755165,0.46263779254360915,0.07001691553941763
convnext_blackbox,300,0.3141781957644013,0.13676844671644578,0.5219446900800748,0.040583685956709234,0.7247720086643625,0.054964258586891496,0.2049381684395976,0.08681419761443027,0.38004559748429423,0.053390173216877286
efficientnet_b4,300,-0.009277311440251505,0.04492072368242965,0.38757104157767763,0.06441827756362978,0.8789618151613358,0.024622136324585365,-0.007858696162831517,0.0315106572866839,0.3417878439469806,0.06401476038163281
vit_small,300,0.687324096136156,0.10827525902387235,0.5209395736675885,0.1144713567675462,0.9893529724571188,0.008745701869200484,0.45863482022166674,0.09712267647346663,0.515067940405402,0.1118436355894994
