sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00006,0,0,0.3692354647908359,0.3692354647908359,0.37237552138976754,0.3480885483324528,gradcam gradcam++ occlusion,0.19288600840399342,0.17649441655520268,0.14840337976894244,0.15077867428667535,0.16738251805339513,0.16405500293179098
cub_00053,0,0,0.7952035642752889,0.7952035642752889,0.8081819590326632,0.8171002056216823,occlusion gradcam++ gradcam,0.18426538824894573,0.1916663024289724,0.1341298377727546,0.14308008407276152,0.20079705550208823,0.14606133197447738
cub_00099,1,1,0.7436606405128259,0.7436606405128259,0.7406676400278227,0.7503961540583988,gradcam++ occlusion integrated_gradients,0.14974634509957527,0.1919426070504402,0.17613797925242594,0.1588925917500489,0.1769933651929105,0.14628711165459915
cub_00147,2,2,0.531125519098714,0.531125519098714,0.5165379852522165,0.5588361807633192,gradcam++ occlusion gradcam,0.17046037832029332,0.19684025777957212,0.15159097988002945,0.15464908346327777,0.17968078396863071,0.14677851658819657
cub_00208,3,3,0.593632603136939,0.593632603136939,0.5961798395292136,0.5773404880223096,occlusion gradcam gradcam++,0.1756675552722537,0.17508348621885012,0.14432119586537534,0.15016458149820014,0.19528025349375014,0.15948292765157054
cub_00258,4,4,0.8255454330937937,0.8255454330937937,0.810608911444433,0.8365810035960748,gradcam++ gradcam occlusion,0.19821724335406055,0.198361804796698,0.13832750368404184,0.14753732965131056,0.19101109594302762,0.1265450225708615
cub_00306,5,5,0.7332716664299368,0.7332716664299368,0.7157146873651071,0.7585481813410297,gradcam++ occlusion gradcam,0.16879564013119258,0.21714332260028157,0.14207111949406803,0.14758643492254034,0.19412085909993154,0.13028262375198596
cub_00346,6,6,0.9248395875678397,0.9248395875678397,0.9297904983744957,0.915935133455787,occlusion gradcam++ gradient_shap,0.12504123101850714,0.1814978401150229,0.17110018098432156,0.17164844310817967,0.18399224714899648,0.1667200576249722
cub_00399,7,7,0.6826340793282724,0.6826340793282724,0.6571611318853684,0.7575567586463874,occlusion gradient_shap gradcam++,0.1587869827387833,0.1603647487904531,0.15993687423742703,0.16432808060043758,0.2134411606557057,0.14314215297719335
cub_00444,8,8,0.8691029324196279,0.8691029324196279,0.8643872244283557,0.8580943283624947,gradcam occlusion gradcam++,0.17589899012234883,0.17197507430766013,0.1548079418664678,0.16293828341877273,0.17577382476671197,0.15860588551803848
cub_00506,9,9,0.7589051312417723,0.7589051312417723,0.7445104754180649,0.8584002039046027,occlusion integrated_gradients gradient_shap,0.1579354973348351,0.15171010869752188,0.1739896759022689,0.1615909420040741,0.20117541423997554,0.15359836182132436
cub_00550,10,10,0.7798543040000367,0.7798543040000367,0.7884139820293057,0.7067926756350063,occlusion gradcam gradcam++,0.19989780264911808,0.1979687217196492,0.11885972141346898,0.122687039318953,0.21385001644923388,0.14673669844957682
cub_00606,11,11,0.7967847685329615,0.7967847685329615,0.7748857765458526,0.8504808056168257,gradcam++ gradcam occlusion,0.1825629008248426,0.18355442593495264,0.14965115484902664,0.15943870768829677,0.17893546219362416,0.14585734850925725
cub_00656,11,11,0.8696105304174125,0.8696105304174125,0.8532399269752204,0.8922989341430365,gradcam gradcam++ occlusion,0.1910778740155555,0.19081003982643518,0.13442795061300455,0.1439580167030021,0.1829661909222503,0.15675992791975227
