model,mean_spearman,ci_lo,ci_hi
deit_small,0.22591854161005231,0.22056245356844448,0.23076456333216178
vit_small,0.23133203430658436,0.22379471482188898,0.2397648205386525
efficientnet_b4,0.23703864243274447,0.23079042301745292,0.24312623113416298
convnext_blackbox,0.3169194786992972,0.304797575425451,0.3287009673177035
resnet50,0.38448174235330784,0.3730711887048635,0.39514598325380845
cbm_leaky,0.40452501718890344,0.3872380313435576,0.42120687460423784
cbm_nonleaky,0.4064559597230888,0.39091562734360064,0.4210222274308347
densenet121,0.4360444350489424,0.42542132198514676,0.4466623011435573
