sample_id,label,target,spearman_attention_rollout_vs_gradcam,top20_iou_attention_rollout_vs_gradcam,spearman_attention_rollout_vs_gradcam++,top20_iou_attention_rollout_vs_gradcam++,spearman_attention_rollout_vs_gradient_shap,top20_iou_attention_rollout_vs_gradient_shap,spearman_attention_rollout_vs_guided_backprop,top20_iou_attention_rollout_vs_guided_backprop,spearman_attention_rollout_vs_integrated_gradients,top20_iou_attention_rollout_vs_integrated_gradients,spearman_attention_rollout_vs_occlusion,top20_iou_attention_rollout_vs_occlusion,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00001,0,0,-0.05505336193448271,0.08135775862068965,0.10237526965885194,0.06885717328789008,0.21940958151971737,0.20605732828555975,-0.06047320528481771,0.10268666556782595,0.2238808129445131,0.18156128576474745,0.31967475446203925,0.34574538696402496,0.48913843335571955,0.23818630475015423,-0.27804679275260413,0.02513024823781796,-0.41609685036805333,0.02492084567459912,-0.19010013915645665,0.06364937198579682,-0.4762039810773681,0.0028192699574636462,-0.04013237264586773,0.11592349605248527,-0.29453717373415145,0.08374730021598271,0.06278234366807466,0.14319075012815402,-0.2603514602193141,0.0672140638980999,0.4063208450551784,0.24968866749688667,0.8205918638699721,0.5964047088768692,0.21139110129789748,0.23915169294707248,0.5045296381876838,0.3068958781011916,0.2772461668924052,0.15421837640897187,0.16239863747049688,0.18901008679333803,0.08232114815283019,0.16601984095312483
cub_00002,0,0,-0.19896680373088643,0.12016520622872133,0.0,0.19999601403061223,0.30230830244306645,0.3046021840873635,0.0706621304697853,0.14287341267581574,0.16352537569922163,0.1833028712929662,-0.029222960695291816,0.21037549997015104,0.0,0.19999601403061223,-0.11525008423064595,0.14254810429238302,-0.04101117895037523,0.12892338845764428,-0.05181709742127817,0.13653094739226457,0.006808555496268168,0.15002836074872378,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20408163265306123,0.3388965137946357,0.22534953293851884,0.6952370987254775,0.4460696015563081,0.06451767700638023,0.16811661001325115,0.5480100671098753,0.3677252282949434,0.03441784434616361,0.10226160704577579,0.03502204833031949,0.13936499016577691,0.0868160708758436,0.19868091656984427
cub_00014,0,0,-0.11051294676800812,0.10877852052372797,-0.3780260951427409,0.02923076923076923,0.43018059003269493,0.4612304331998544,0.4104632042158535,0.4310160427807487,0.389108162188582,0.4158730158730159,0.3379219431020954,0.3343205001645278,0.2959872026093624,0.19138074320313428,-0.08863787819632353,0.11885382985840116,-0.06922245210140535,0.12317421232301752,-0.07895488705752443,0.12304851435286218,-0.006335404272867918,0.1457391500904159,-0.25733497475646927,0.06982942430703624,-0.20562287535024146,0.06455206067999787,-0.22360249467148754,0.07000053313429654,-0.2754746574609259,0.060297040058571276,0.6521542355893966,0.4673197835940927,0.8241685340258688,0.6182873730043541,0.2678960090701306,0.2583007509464408,0.7342356061199363,0.5224152317378442,0.20733479475057742,0.26316117375864434,0.22461158905851875,0.23605438029628725,0.1466827240469058,0.2434696896722876
cub_00017,0,0,-0.17381319165147843,0.12664196699225327,0.33726697843407405,0.19999601403061223,0.40730550551444267,0.35929563156112426,0.23972865737801793,0.13473172386498558,0.23519279096957665,0.17954745812518366,0.14008996366661047,0.30831773891720976,-0.13136512130257008,0.19999601403061223,-0.10895966077015133,0.12298567591763652,0.030885307566307175,0.09606247610725793,-0.0005695634737079688,0.10426409903713893,-0.06581340232673226,0.12632631520471085,0.25938704735338847,0.19999601403061223,-0.02581650840158342,0.19999601403061223,0.07066255684019673,0.19999601403061223,0.1508912973838962,0.20408163265306123,0.4007780968644612,0.21064060803474485,0.7010015799921516,0.3629881154499151,0.08765217070304412,0.21749834864588963,0.7187441553533008,0.5044977511244377,0.008413069403883304,0.14781476449275363,0.05188817308610835,0.14451030200395146,0.1587404715515827,0.2071516513469198
cub_00018,0,0,0.14418997116512963,0.19999601403061223,-0.6422315292279518,0.011541756967894763,0.426707906380759,0.254375,0.6061345893482436,0.3420260782347041,0.34748450376264733,0.22087718231035952,0.19588544320671822,0.3124676333505955,-0.17742741605293597,0.19999601403061223,0.0571266179349258,0.19999601403061223,0.09959173286783249,0.19999601403061223,0.024095772013450135,0.19999601403061223,-0.06117066166541683,0.20408163265306123,-0.4364716958985611,0.026808554179883353,-0.5049130896598619,0.0447139659570038,-0.2952634762427135,0.056816386709493974,-0.11142731344776183,0.0751405239155796,0.5845158102568506,0.34716069271043093,0.8621073507311318,0.6077865897620764,0.0817793763760442,0.1978612785064398,0.5708247397930946,0.34274436341740816,0.12202638772970553,0.20785178124627665,0.07324281643655707,0.17230413414281584,0.09365751599085177,0.21069226781986114
cub_00020,0,0,0.10742205827828373,0.1579645762418508,0.17715729806754857,0.31185044774168247,0.43980422761358823,0.37108894657740127,0.3157594364091616,0.1760914151772634,0.40508893936335294,0.297182006204757,0.1577929316315191,0.1835269394664643,-0.12500031365347183,0.07775331579229984,-0.010530442785285074,0.09749562554680664,-0.036375271642338766,0.0951601462323348,-0.008416568389992104,0.10365116023314638,-0.0549506628329796,0.1013579576317219,0.16208228309167352,0.2922542012748696,-0.012476679165436,0.13000394121952594,0.07345477332028781,0.23325549956986605,0.15053820772944299,0.14866013257039262,0.4177078775242915,0.2651285930408472,0.8119544543250337,0.5668670466078538,0.24672106592638474,0.2121846227430348,0.5949837626859805,0.37005938971943475,0.2060095072364475,0.15738097956387714,0.1505058477452847,0.15731491523488783,0.19853489202279895,0.21458246944715803
cub_00029,0,0,0.17450212580933008,0.2778308191712813,-0.2442813033625596,0.10044961070292795,0.31615044683084914,0.29417075058034564,0.412314054370285,0.30808837906537184,0.2936828096864327,0.24441964285714285,0.31847678726835804,0.357276743874682,0.12259164972402337,0.14152499004946836,0.06615900443184779,0.17232116788321167,0.04418094703983547,0.16890829694323145,0.03712509768217086,0.13841791891125602,-0.0245063047028091,0.1990658625990304,-0.060440114852849725,0.1351809954751131,-0.10890314166541307,0.12746474917139486,-0.04993597565121413,0.13115031279941386,-0.1152612638779959,0.13917294077986292,0.5325082349240162,0.35589785164167004,0.7828617485207547,0.5362829148805879,0.2398776498722363,0.23027912621359223,0.5877964776274125,0.399093760892297,0.2815592740497229,0.26813860395296474,0.1857374177930644,0.20634259534717678,0.18058074388178563,0.23483228732342964
cub_00035,0,0,0.2498092249825678,0.08480622669044917,-0.33861371682002356,0.0630859685364691,0.5515072230750221,0.4722711267605634,0.3145744969112514,0.24411108356062486,0.3542890617253113,0.27194372266937067,0.3681119070911823,0.4614719238809198,-0.5887174450290841,0.010777598710717163,0.20506433809100647,0.11357709593297453,0.43161482682156593,0.19727972319990456,0.16759309421900428,0.14987968374011687,0.02423301931845256,0.05880202621546817,-0.33954550792855087,0.04880852842809365,-0.4257543728204162,0.025444512568976087,-0.21652819469866655,0.06709910676307954,-0.01226157748183645,0.08602496116556858,0.49919552959659597,0.2987769365171811,0.6849276023322876,0.4056590558901807,0.1739405435487126,0.30789575538640174,0.6596115601887679,0.43953521732893414,0.16930802610873014,0.23169916772978555,0.12479572320205164,0.21203969392635102,0.14557882678256823,0.20242805312391096
cub_00042,0,0,-0.49505746688647806,0.03155838815789474,0.034295886723021196,0.1409243363083395,0.4294692431427624,0.3963681903569192,0.4078688297882312,0.35498244666486634,0.32003582882431314,0.31615187881172535,0.21143561507928785,0.29569274028629855,0.2866367696048346,0.2092546845815509,-0.33420637118909513,0.07377882403295703,-0.315583440639737,0.07810485603781693,-0.2876067572459655,0.08975403160123799,-0.04506557060726758,0.09305083832012508,-0.06542624762705887,0.11333000499251124,-0.06239575376894819,0.06857629645405175,-0.12432658333167115,0.09744094488188976,0.09149440529960295,0.14347752523828322,0.4936339968356405,0.3168427268551932,0.7879747731530546,0.5518441196938065,0.1543988344209249,0.21203969392635102,0.6752573858487502,0.4337762537505358,0.14131460736017787,0.15257802285259509,0.09152979420598724,0.17434115262090935,0.11407989423763652,0.20685085506789805
cub_00044,0,0,0.12650209007115254,0.19999601403061223,0.0,0.19999601403061223,0.5202333665615295,0.5191885549920521,0.2412441337098289,0.19856673633920574,0.4150803223464664,0.3294912559618442,0.3278904742562599,0.356550247557875,0.0,1.0,0.1331269457340159,0.19999601403061223,0.0029313543318076362,0.19999601403061223,0.10188281238756013,0.19999601403061223,0.08048819388851992,0.20408163265306123,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20408163265306123,0.4504322151529901,0.25140291806958476,0.757125652089426,0.5209154289178539,0.3300506891822004,0.34422860173705494,0.569472466398568,0.33532934131736525,0.2481079792429854,0.2011255924170616,0.2411035693798781,0.2403646151963783,0.21646058403491375,0.30025212714558547
