sample_id,method,label,target,deletion_auc,insertion_auc
cub_00006,gradcam,0,0,0.050707625050563365,0.4337464205222204
cub_00006,gradcam++,0,0,0.026393582587479612,0.344936277763918
cub_00006,integrated_gradients,0,0,0.030157048821274658,0.17158114133635533
cub_00006,gradient_shap,0,0,0.028299619714380244,0.2086589014623314
cub_00006,occlusion,0,0,0.05356189731974156,0.29192875656299294
cub_00006,guided_backprop,0,0,0.030516072441241705,0.27184879146516316
cub_00008,gradcam,0,0,0.12834035430059884,0.7596435779472812
cub_00008,gradcam++,0,0,0.12762305876058233,0.7575845179788303
cub_00008,integrated_gradients,0,0,0.026537921710405504,0.29734841829631475
cub_00008,gradient_shap,0,0,0.02638265340938233,0.23968331677315285
cub_00008,occlusion,0,0,0.1525488297920674,0.7673339404631405
cub_00008,guided_backprop,0,0,0.02903634166577831,0.45419661831692787
cub_00010,gradcam,0,0,0.07290932862088086,0.6686711877584457
cub_00010,gradcam++,0,0,0.03075489006296266,0.6990128691875725
cub_00010,integrated_gradients,0,0,0.02296618473992567,0.39656004722783106
cub_00010,gradient_shap,0,0,0.023482595157111062,0.36378383002011105
cub_00010,occlusion,0,0,0.10132325587328522,0.6589471370447426
cub_00010,guided_backprop,0,0,0.023355749694746922,0.1846319632466475
cub_00012,gradcam,0,0,0.07432869299082087,0.7582632055040449
cub_00012,gradcam++,0,0,0.08858192790357863,0.7411685714032502
cub_00012,integrated_gradients,0,0,0.02955039822991239,0.4317335673287744
cub_00012,gradient_shap,0,0,0.025964666443906027,0.4401569139965431
cub_00012,occlusion,0,0,0.2418600769713521,0.7534587743226439
cub_00012,guided_backprop,0,0,0.02912014603934949,0.689211183891166
cub_00015,gradcam,0,0,0.08535791193280601,0.7468665183230769
cub_00015,gradcam++,0,0,0.0808116998843616,0.7207086359412642
cub_00015,integrated_gradients,0,0,0.024925414838071445,0.35460729348997116
cub_00015,gradient_shap,0,0,0.025094046734739098,0.36237568012729743
cub_00015,occlusion,0,0,0.27704889886081213,0.8350859629455953
cub_00015,guided_backprop,0,0,0.028028871786227687,0.4353589185426244
cub_00024,gradcam,0,0,0.20827506165951495,0.7943894154857843
cub_00024,gradcam++,0,0,0.1955666558700614,0.7852566734421998
cub_00024,integrated_gradients,0,0,0.2447637087549083,0.6319344362578704
cub_00024,gradient_shap,0,0,0.25810327470244376,0.628905656637653
cub_00024,occlusion,0,0,0.33320048879832026,0.8139559824485332
cub_00024,guided_backprop,0,0,0.1620671149546979,0.6048861237359233
cub_00026,gradcam,0,0,0.08588328312616797,0.6597416889853776
cub_00026,gradcam++,0,0,0.092536719981581,0.6662340553477406
cub_00026,integrated_gradients,0,0,0.024134275398682806,0.2615908714942634
cub_00026,gradient_shap,0,0,0.0238989535078872,0.3016501701669767
cub_00026,occlusion,0,0,0.213973532570526,0.759402714902535
cub_00026,guided_backprop,0,0,0.028438959398772574,0.2572425933685735
cub_00034,gradcam,0,0,0.09008798559589194,0.7886945278616623
cub_00034,gradcam++,0,0,0.10834337343694643,0.7794882188318297
cub_00034,integrated_gradients,0,0,0.02804450449766591,0.6475856924982508
cub_00034,gradient_shap,0,0,0.029054772632662207,0.6287668422650312
cub_00034,occlusion,0,0,0.23502493163105104,0.8531734588090331
cub_00034,guided_backprop,0,0,0.028013502585235984,0.612874626039411
cub_00037,gradcam,0,7,0.07118212677305563,0.04922577023535268
cub_00037,gradcam++,0,7,0.010164610395440832,0.1079598365118727
cub_00037,integrated_gradients,0,7,0.020704920694697652,0.12007660415256396
cub_00037,gradient_shap,0,7,0.018231651769019662,0.12496347430860624
cub_00037,occlusion,0,7,0.02535920706577599,0.30154171978356314
cub_00037,guided_backprop,0,7,0.018551080010365695,0.08113265483989379
cub_00049,gradcam,0,0,0.07137535023503006,0.691343979728117
cub_00049,gradcam++,0,0,0.07515596401644872,0.6895099855028093
cub_00049,integrated_gradients,0,0,0.02817136089433916,0.4095166512117431
cub_00049,gradient_shap,0,0,0.02903719480382279,0.43885893181141
cub_00049,occlusion,0,0,0.09316634815186264,0.8817350255791099
cub_00049,guided_backprop,0,0,0.030401344085112216,0.39253805523330804
cub_00053,gradcam,0,0,0.08988968684861903,0.7745426013876568
cub_00053,gradcam++,0,0,0.06478538495139219,0.8139214072507458
cub_00053,integrated_gradients,0,0,0.02674426206503995,0.456973824929446
cub_00053,gradient_shap,0,0,0.026925125333946198,0.5361915460714953
cub_00053,occlusion,0,0,0.13496047542430462,0.8604602793697267
cub_00053,guided_backprop,0,0,0.02834087229566648,0.5421921710094465
cub_00059,gradcam,0,0,0.04710140317038167,0.5876638400222873
cub_00059,gradcam++,0,0,0.057208940228156285,0.5925206232233904
cub_00059,integrated_gradients,0,0,0.05065192741167266,0.5130378864181694
cub_00059,gradient_shap,0,0,0.046135086276626686,0.5428187506069662
cub_00059,occlusion,0,0,0.31916246444452556,0.6185498285572977
cub_00059,guided_backprop,0,0,0.0568300135433674,0.5343571124394657
cub_00064,gradcam,1,1,0.036908062692964455,0.02715491356211714
cub_00064,gradcam++,1,1,0.02989842990937177,0.10539376603555865
cub_00064,integrated_gradients,1,1,0.008170930021151435,0.09003804832318565
cub_00064,gradient_shap,1,1,0.00831029770342866,0.11067764708132016
cub_00064,occlusion,1,1,0.010617098485818134,0.03859271173132583
cub_00064,guided_backprop,1,1,0.007633424595405813,0.09808881670687697
